District,Principal River,None,None_1,None_2,None_3,None_4,Principal River Total (A),Other River Total (B),Grand Total (A+B)
None,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
Putra",None,None,None
Dinajpur,0,0,0,0,0,0,0,364,364
Gaibandha,0,0,0,0,358,1629,1987,653,2640
Kurigram,0,0,0,0,0,3947,3947,703,4650
Lalmonirhat,0,0,0,0,0,0,0,263,263
Nilphamari,0,0,0,0,0,0,0,253,253
Panchagarh,0,0,0,0,0,0,0,161,161
Rangpur,0,0,0,0,0,0,0,217,217
Thakurgaon,0,0,0,0,0,0,0,154,154
Rangpur Division,0,0,0,0,358,5576,5934,2768,8702
Bogura,0,0,0,0,299,0,299,834,1133
Chapai Nawabganj,0,0,0,1304,0,0,1304,946,2250
Joypurhat,0,0,0,0,0,0,0,218,218
Naogaon,0,0,0,0,0,0,0,1400,1400
Natore,0,0,0,556,0,0,556,477,1033
Pabna,0,0,0,2348,1091,0,3439,1541,4980
Rajshahi,0,0,0,1915,0,0,1915,1868,3783
Sirajganj,0,0,0,0,3079,0,3079,2005,5084
Rajshahi Division,0,0,0,6123,4469,0,10592,9289,19881
Bandarban,0,0,0,0,0,0,0,227,227
Brahmanbaria,0,1599,0,0,0,0,1599,781,2380
Chandpur,39037,0,0,0,0,0,39037,1711,40748
Chattogram,0,0,0,0,0,0,0,7983,7983
Cumilla,0,537,0,0,0,0,537,691,1228
Cox’s Bazar,0,0,0,0,0,0,0,4897,4897
Feni,0,0,0,0,0,0,0,1486,1486
Khagrachhari,0,0,0,0,0,0,0,63,63
Lakshmipur,25516,0,0,0,0,0,25516,399,25915
Noakhali,15136,0,0,0,0,0,15136,132,15268
Rangamati,0,0,0,0,0,0,0,249,249
Chattogram Division,79689,2136,0,0,0,0,81825,18619,100444
Habiganj,0,182,0,0,0,0,182,940,1122
Moulvibazar,0,0,0,0,0,0,0,568,568
Sunamganj,0,0,0,0,0,0,0,1013,1013
Sylhet,0,0,0,0,0,0,0,1059,1059
Sylhet Division,0,182,0,0,0,0,182,3580,3762
TOTAL,231163,8882,12882,7622,7317,8261,276127,124574,400701
%,57.69,2.22,3.21,1.90,1.83,2.06,68.91,31.09,100
