Sl. No.,Species,Lower Meghna,None,None_1,None_2,None_3,None_4,None_5,Upper Meghna,None_6,None_7,None_8,None_9,None_10,None_11,None_12,Total
None,None,"ali
h
k
a
o
N","a
ol
h
B","al
h
s
ri
a
B","r
u
p
mi
h
s
k
a
L","r
u
p
at
ri
a
h
S","r
u
p
d
n
a
h
C","Sub-
Total","nj
a
g
hi
s
n
u
M","nj
a
g
n
a
y
a
r
a
N","a
mill
u
C","di
g
n
si
r
a
N","a
ri
a
b
n
a
m
h
a
r
B","nj
a
g
e
r
o
h
s
Ki","nj
a
g
bi
a
H","Sub-
Total",None
1,Rui,15,41,43,16,21,31,167,20,0,36,15,87,108,0,266,433
2,Catla,15,20,31,11,20,23,120,16,0,18,9,56,46,0,145,265
3,Mrigal,9,21,15,19,5,21,90,10,0,15,3,40,55,0,123,213
4,Kalibaus,0,0,0,0,0,0,0,3,0,7,0,8,11,0,29,29
5,Bata,141,60,193,746,5,75,1220,17,0,13,0,25,45,0,100,1320
6,Ghania,0,0,0,0,0,0,0,0,0,3,0,12,0,0,15,15
7,Pangas,0,142,126,0,27,81,376,8,0,9,7,16,25,0,65,441
8,Boal/Air,0,141,56,0,19,82,298,11,0,35,7,64,25,0,142,440
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cuchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Other Inland Fish,188,916,1077,589,39,642,3451,846,1228,170,1857,671,369,153,5294,8745
15,Hilsa/Ilish,9440,82358,34289,20212,1591,30910,178800,401,107,0,206,232,165,0,1111,179911
16,Galda,28,91,146,64,0,0,329,14,0,27,7,23,69,0,140,469
17,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Other small
shrimp/prawn",41,128,225,44,18,49,505,61,16,93,15,41,103,37,366,871
Total,None,9877,83918,36201,21701,1745,31914,185356,1407,1351,426,2126,1275,1021,190,7796,193152
