District name,Mar-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,633,None,None,433,None,None,583,None,None,375,None,None,533,None,None,325,None,None,664,None,None,479,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,369,None,None,281,None,None,313,None,None,231,None,None,0,None,None,0,None,None,539,None,None,369,None,None
Chattogram,630,None,None,410,None,None,586,None,None,380,None,None,529,None,None,325,None,None,712,None,None,450,None,None
Cox’sbazar,769,None,None,400,None,None,704,None,None,365,None,None,713,None,None,0,None,None,821,None,None,475,None,None
Cumilla,552,None,None,350,None,None,543,None,None,400,None,None,457,None,None,300,None,None,603,None,None,402,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,492,None,None,417,None,None,450,None,None,350,None,None,400,None,None,0,None,None,558,None,None,488,None,None
Noakhali,633,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,712,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,460,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,575,None,None,370,None,None,540,None,None,350,None,None,526,None,None,317,None,None,624,None,None,438,None,None
Sylhet,464,None,None,350,None,None,414,None,None,0,None,None,375,None,None,0,None,None,505,None,None,400,None,None
Maulavi Bazar,471,None,None,396,None,None,400,None,None,376,None,None,0,None,None,0,None,None,506,None,None,409,None,None
Sunamganj,474,None,None,361,None,None,0,None,None,0,None,None,0,None,None,0,None,None,521,None,None,400,None,None
Habiganj,488,None,None,375,None,None,0,None,None,0,None,None,0,None,None,0,None,None,499,None,None,450,None,None
Sylhet Division,474,None,None,370,None,None,407,None,None,376,None,None,375,None,None,0,None,None,508,None,None,415,None,None
Dhaka,537,None,None,450,None,None,553,None,None,400,None,None,565,None,None,350,None,None,631,None,None,550,None,None
Gazipur,638,None,None,500,None,None,0,None,None,0,None,None,519,None,None,431,None,None,700,None,None,545,None,None
Manikganj,550,None,None,450,None,None,531,None,None,400,None,None,502,None,None,350,None,None,607,None,None,488,None,None
Munshiganj,500,None,None,0,None,None,0,None,None,0,None,None,548,None,None,450,None,None,636,None,None,500,None,None
Narayanganj,665,None,None,580,None,None,615,None,None,528,None,None,550,None,None,400,None,None,697,None,None,592,None,None
Narsingdi,0,None,None,350,None,None,531,None,None,0,None,None,558,None,None,0,None,None,576,None,None,0,None,None
Faridpur,574,None,None,0,None,None,0,None,None,0,None,None,500,None,None,0,None,None,623,None,None,300,None,None
Rajbari,538,None,None,450,None,None,525,None,None,0,None,None,0,None,None,0,None,None,614,None,None,0,None,None
Madaripur,462,None,None,438,None,None,0,None,None,0,None,None,500,None,None,0,None,None,532,None,None,418,None,None
Gopalganj,500,None,None,0,None,None,0,None,None,0,None,None,425,None,None,350,None,None,499,None,None,367,None,None
Shariatpur,605,None,None,363,None,None,0,None,None,0,None,None,600,None,None,0,None,None,667,None,None,420,None,None
Tangail,600,None,None,430,None,None,528,None,None,380,None,None,496,None,None,330,None,None,623,None,None,443,None,None
Kishoreganj,474,None,None,0,None,None,534,None,None,0,None,None,578,None,None,0,None,None,578,None,None,0,None,None
Dhaka Division,553,None,None,446,None,None,545,None,None,427,None,None,528,None,None,380,None,None,614,None,None,462,None,None
Mymensing,,551,,,476,,,510,,,443,,,405,,,426,,,589,,,528,
Jamalpur,,520,,,0,,,505,,,0,,,480,,,0,,,585,,,0,
Sherpur,,542,,,350,,,502,,,300,,,500,,,0,,,570,,,400,
Netrokona,,564,,,488,,,547,,,440,,,510,,,420,,,608,,,553,
Mymensing Division,544,None,None,438,None,None,516,None,None,394,None,None,474,None,None,423,None,None,588,None,None,494,None,None
