Sl. No.,District,Extensive,None,Semi-intensive,None_1,Intensive,None_2,Highly Intensive,None_3,Total,None_4,None_5
None,None,< 1.5 MT/Ha,None,1.5 - 4.0 MT/Ha,None,>4- 10 MT/Ha,None,>10.0 MT/Ha,None,None,None,None
None,None,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
1,Dhaka,11,16,1214,4853,268,2671,20,395,1513,7935,5.24
2,Faridpur,91,133,2127,7943,1922,13955,126,2040,4266,24071,5.64
3,Gazipur,71,94,2341,8899,1401,12800,562,9091,4375,30884,7.06
4,Gopalganj,619,843,2120,7662,1472,12246,74,1082,4285,21833,5.10
6,Kishoreganj,252,358,3102,12278,1698,14592,389,3622,5441,30850,5.67
6,Madaripur,175,222,2013,6995,605,5226,159,2235,2952,14678,4.97
7,Manikganj,261,324,1774,6992,690,6891,22,376,2747,14583,5.31
8,Munshiganj,185,261,1708,6799,378,3775,7,77,2278,10912,4.79
9,Narayanganj,0,0,1287,4497,792,6318,1,11,2080,10826,5.20
10,Narsingdi,68,101,1206,4692,855,7325,968,15132,3097,27250,8.80
11,Rajbari,136,186,2784,10740,943,7125,32,393,3895,18444,4.74
12,Shariatpur,202,273,1751,7011,941,8977,23,437,2917,16698,5.72
13,Tangail,230,297,2785,9231,4728,32092,331,3755,8074,45375,5.62
Dhaka Division,None,2301,3108,26212,98592,16693,133993,2714,38646,47920,274339,5.72
14,Jamalpur,41,44,2384,8489,1607,12625,121,2190,4153,23348,5.62
15,Mymensingh,518,771,7179,27308,13313,112142,9215,184124,30225,324345,10.73
16,Netrakona,423,562,5411,20916,2527,23766,44,823,8405,46067,5.48
17,Sherpur,52,71,2401,7140,1639,9973,620,8595,4712,25779,5.47
Mymensingh Division,None,1034,1448,17375,63853,19086,158506,10000,195732,47495,419539,8.83
18,Bagerhat,1652,2462,3802,15162,176,1649,0,0,5630,19273,3.42
19,Chuadanga,0,0,1021,3664,1219,8935,0,0,2240,12599,5.62
20,Jashore,75,110,9287,36815,6290,61640,2356,45387,18008,143952,7.99
21,Jhenaidah,73,78,2358,7200,3030,22806,72,737,5533,30821,5.57
22,Khulna,124,183,3131,10845,1654,10493,0,0,4909,21521,4.38
23,Kushtia,30,27,2715,10792,2250,15668,21,220,5016,26707,5.32
24,Magura,21,30,1760,6367,659,5751,60,703,2500,12851,5.14
25,Meherpur,0,0,1240,4907,327,2728,18,276,1585,7911,4.99
26,Narail,50,71,542,1945,529,3506,0,0,1121,5522,4.93
27,Satkhira,4992,7255,4346,12805,3006,17741,889,11180,13233,48981,3.70
Khulna Division,None,7017,10216,30202,110502,19140,150917,3416,58503,59775,330138,5.52
