Year,Fertilizer,Production,Sales/Usage
2013-2014,Urea,8.39,24.62
None,TSP,0.86,6.85
None,DAP,0.48,5.43
None,MOP,-,5.76
2014-2015,Urea,8.78,26.38
None,TSP,0.88,7.22
None,DAP,0.63,5.97
None,MOP,-,6.40
2015-2016,Urea,10.08,22.91
None,TSP,0.95,7.30
None,DAP,1.02,6.58
None,MOP,-,7.26
2016-2017,Urea,9.23,23.66
None,TSP,1.07,7.40
None,DAP,0.59,6.09
None,MOP,-,7.81
2017-2018,Urea,7.64,24.27
None,TSP,1.00,7.07
None,DAP,0.53,6.89
None,MOP,-,7.89
2018-2019,Urea,7.83,25.94
None,TSP,0.97,7.81
None,DAP,0.24,7.63
None,MOP,-,7.24
2019-2020,Urea,7.96,25.10
None,TSP,1.04,6.91
None,DAP,0.76,9.62
None,MOP,-,7.16
2020-2021,Urea,10.34,24.63
None,TSP,.92,5.23
None,DAP,1.02,14.24
None,MOP,-,7.98
2021-2022,Urea,10.10,26.63
None,TSP,0.88,7.36
None,DAP,1.02,16.85
None,MOP,-,7.90
2022-2023,Urea,7.18,27.52
None,TSP,0.88,7.79
None,DAP,1.19,15.84
None,MOP,-,7.78
2023-2024,Urea,6.94,26.23
None,TSP,1.00,7.06
None,DAP,0.92,14.94
None,MOP,-,9.43
