Sl. No.,Species/Group,Inland Fisheries,Marine Fisheries,Total,%
1,Major Carp,1136095,0,1136095,22.64
2,Other Carp,156998,0,156998,3.13
3,Exotic Carp,567242,0,567242,11.30
4,Pangas (Cat Fish),418629,0,418629,8.34
5,Other Cat Fish,79883,0,79883,1.59
6,Snake Head,83242,0,83242,1.66
7,Live Fish,192576,0,192576,3.84
8,Tilapia,439678,0,439678,8.76
9,Other Inland fish,695414,0,695414,13.86
10,Hilsa/Ilish (Tenualosa ilisha),248569,280918,529487,10.55
11,Shrimp/Prawn,234217,26269,260486,5.19
12,Crab (Scylla serrate & Scylla olivacea),10782,0,10782,0.21
13,Sarpunti (Puntius sarana),118005,0,118005,2.35
14,Cuchia,8530,0,8530,0.17
15,Sardine (Sardinella fimbriata),0,23703,23703,0.47
16,Bombay Duck (Harpondon nehereus),0,78221,78221,1.56
17,Indian Salmon (Polydactylus indicus),0,115,115,0
18,Pomfret (Rup/ Hail/ Foli Chanda),0,11476,11476,0.23
19,"Jew Fish (Poa, Lambu, Kala datina etc.)",0,60686,60686,1.21
20,Sea Cat Fish (Tachysurus spp.),0,17999,17999,0.36
21,Shark/ Skate / Ray,0,2952,2952,0.06
22,Tuna and Tuna like fish,0,14493,14493,0.29
23,Other Marine Fish,0,111791,111791,2.23
TOTAL,Production (Metric Ton),4389860,628623,5018483,100
None,%,87.47,12.53,100,
