Sl. No.,Species,Lower Padma,None,None_1,None_2,None_3,None_4,None_5,None_6,Upper Padma,None_7,None_8,None_9,None_10,None_11,None_12,Total
None,None,"r
u
p
at
ri
a
h
S","r
u
p
ri
a
d
a
M","nj
a
g
hi
s
n
u
M","a
k
a
h
D","nj
a
g
k
ni
a
M","r
u
p
d
ri
a
F","ri
a
b
aj
R","Sub-
Total","ri
a
b
aj
R","a
hti
s
u
K","a
n
b
a
P","e
r
o
at
N","hi
a
h
s
aj
R","nj
a
g
b
a
w
a
N
C.","Sub-
Total",None
1,Rui,62,35,20,33,31,35,30,246,38,13,57,26,40,43,217,463
2,Catla,36,17,18,32,22,18,16,159,21,8,35,16,32,35,147,306
3,Mrigal,37,15,11,31,15,19,7,135,12,3,7,6,16,19,63,198
4,Kalibaus,15,10,8,10,7,7,3,60,7,2,15,5,7,6,42,102
5,Bata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pangas,17,11,9,12,9,8,6,72,0,6,35,31,74,43,189,261
8,Boal/Aire,40,51,85,35,35,50,11,307,15,9,51,17,50,61,203,510
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,47,37,21,35,12,13,15,180,0,0,0,0,0,0,0,180
13,Other Inland Fish,255,785,560,315,374,942,405,3636,765,133,1517,372,1095,831,4713,8349
14,Hilsa/Ilish,2384,185,570,118,1140,357,525,5279,287,535,95,10,173,32,1132,6411
15,Galda,5,6,11,9,8,13,14,66,6,2,2,0,0,11,21,87
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
19,Other small shrimp/prawn,21,9,22,79,32,28,21,212,48,9,38,15,44,44,198,410
Total,None,2919,1161,1335,709,1685,1490,1053,10352,1199,720,1852,498,1531,1125,6925,17277
