Sl. No.,Species,Jamuna,None,None_1,None_2,None_3,None_4,None_5,None_6,Brahmaputra,None_7,None_8,None_9,Total,Grand Total
None,None,"j
n
a
g
k
ni
a
M","a
n
b
a
P","ail
g
n
a
T","j
n
a
g
j
a
r
Si","a
r
u
g
o
B","r
u
p
al
m
a
J","a
h
d
n
a
b
ai
G","al
t
o
T
-
b
u
S","r
u
p
al
m
a
J","a
h
d
n
a
b
ai
G","m
a
r
g
ri
u
K","al
t
o
T
-
b
u
S",None,None
1,Rui,18,15,38,34,14,62,16,197,102,40,57,199,396,1333
2,Catla,10,9,24,40,6,35,7,131,77,38,46,161,292,889
3,Mrigal,8,7,24,39,5,21,6,110,74,30,37,141,251,669
4,Kalibaus,6,0,16,6,0,10,0,38,34,33,25,92,130,273
5,Bata,0,7,0,6,0,0,0,13,0,0,0,0,13,1336
6,Ghania,0,0,0,0,0,0,0,0,0,0,0,0,0,17
7,Pangas,0,0,0,0,0,0,0,0,0,0,0,0,0,724
8,Boal/Air,63,51,82,9,14,43,22,284,150,150,122,422,706,1678
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,184
13,Cuchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Other Inland Fish,575,836,633,1981,59,353,107,4544,1272,793,2640,4705,9249,26412
15,Hilsa/Ilish,0,41,156,400,4,80,6,687,5,6,310,321,1008,192922
16,Galda,0,5,10,0,6,0,0,21,41,32,0,73,94,669
17,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Other small shrimp/prawn,87,62,83,52,32,45,59,420,337,262,201,800,1220,2529
Total,None,767,1033,1066,2567,140,649,223,6445,2092,1384,3438,6914,13359,229635
