District name,Oct-2023,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,607,None,None,436,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,432,None,None,332,None,None,313,None,None,229,None,None,0,None,None,0,None,None,530,None,None,367,None,None
Chattogram,623,None,None,472,None,None,566,None,None,419,None,None,550,None,None,383,None,None,682,None,None,463,None,None
Cox’sbazar,662,None,None,409,None,None,651,None,None,418,None,None,605,None,None,385,None,None,747,None,None,481,None,None
Cumilla,532,None,None,336,None,None,426,None,None,312,None,None,407,None,None,347,None,None,425,None,None,300,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,483,None,None,400,None,None,450,None,None,0,None,None,420,None,None,350,None,None,580,None,None,513,None,None
Noakhali,588,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,687,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,420,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,553,None,None,375,None,None,501,None,None,344,None,None,501,None,None,366,None,None,588,None,None,423,None,None
Sylhet,457,None,None,350,None,None,402,None,None,0,None,None,375,None,None,0,None,None,503,None,None,400,None,None
Maulavi Bazar,455,None,None,369,None,None,450,None,None,350,None,None,0,None,None,0,None,None,483,None,None,402,None,None
Sunamganj,473,None,None,346,None,None,0,None,None,0,None,None,0,None,None,0,None,None,532,None,None,381,None,None
Habiganj,488,None,None,350,None,None,0,None,None,0,None,None,0,None,None,0,None,None,506,None,None,410,None,None
Sylhet Division,468,None,None,354,None,None,426,None,None,350,None,None,375,None,None,-,None,None,506,None,None,398,None,None
Dhaka,570,None,None,450,None,None,568,None,None,400,None,None,575,None,None,350,None,None,641,None,None,550,None,None
Gazipur,600,None,None,500,None,None,0,None,None,0,None,None,556,None,None,469,None,None,705,None,None,565,None,None
Manikganj,525,None,None,0,None,None,500,None,None,350,None,None,469,None,None,300,None,None,581,None,None,450,None,None
Munshiganj,0,None,None,0,None,None,0,None,None,0,None,None,528,None,None,0,None,None,571,None,None,550,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,493,None,None,423,None,None
Narsingdi,0,None,None,0,None,None,559,None,None,0,None,None,564,None,None,0,None,None,587,None,None,0,None,None
Faridpur,571,None,None,350,None,None,0,None,None,0,None,None,500,None,None,0,None,None,608,None,None,380,None,None
Rajbari,540,None,None,475,None,None,500,None,None,0,None,None,0,None,None,0,None,None,583,None,None,380,None,None
Madaripur,442,None,None,375,None,None,0,None,None,0,None,None,575,None,None,0,None,None,516,None,None,382,None,None
Gopalganj,500,None,None,0,None,None,0,None,None,0,None,None,425,None,None,300,None,None,505,None,None,400,None,None
Shariatpur,625,None,None,363,None,None,0,None,None,0,None,None,600,None,None,0,None,None,683,None,None,420,None,None
Tangail,610,None,None,440,None,None,517,None,None,390,None,None,510,None,None,340,None,None,620,None,None,495,None,None
Kishoreganj,500,None,None,0,None,None,516,None,None,0,None,None,537,None,None,0,None,None,560,None,None,0,None,None
Dhaka Division,548,None,None,422,None,None,527,None,None,380,None,None,531,None,None,352,None,None,589,None,None,454,None,None
Mymensing,,604,,,526,,,559,,,490,,,548,,,470,,,499,,,433,
Jamalpur,,485,,,0,,,530,,,0,,,560,,,0,,,600,,,0,
Sherpur,,512,,,300,,,546,,,320,,,563,,,0,,,596,,,350,
Netrokona,,520,,,400,,,538,,,445,,,590,,,0,,,575,,,480,
Mymensing Division,530,None,None,409,None,None,543,None,None,418,None,None,565,None,None,470,None,None,568,None,None,421,None,None
