District name,Aug-2023,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Without Food
(in TK)",None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,607,None,None,414,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,481,None,None,398,None,None
Rangamati,432,None,None,332,None,None,313,None,None,229,None,None,0,None,None,0,None,None,529,None,None,376,None,None
Chattogram,668,None,None,478,None,None,583,None,None,425,None,None,608,None,None,500,None,None,708,None,None,489,None,None
Cox’sbazar,682,None,None,404,None,None,660,None,None,418,None,None,627,None,None,390,None,None,763,None,None,481,None,None
Cumilla,523,None,None,333,None,None,414,None,None,308,None,None,407,None,None,323,None,None,408,None,None,303,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,472,None,None,375,None,None,450,None,None,0,None,None,405,None,None,350,None,None,585,None,None,500,None,None
Noakhali,578,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,678,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,488,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
"Chattogram
Division",557,None,None,370,None,None,503,None,None,345,None,None,514,None,None,391,None,None,595,None,None,423,None,None
Sylhet,469,None,None,350,None,None,421,None,None,0,None,None,375,None,None,0,None,None,503,None,None,400,None,None
Maulavi Bazar,480,None,None,370,None,None,460,None,None,350,None,None,0,None,None,0,None,None,500,None,None,415,None,None
Sunamganj,473,None,None,331,None,None,0,None,None,0,None,None,0,None,None,0,None,None,539,None,None,367,None,None
Habiganj,478,None,None,370,None,None,0,None,None,0,None,None,0,None,None,0,None,None,525,None,None,400,None,None
Sylhet Division,475,None,None,355,None,None,441,None,None,350,None,None,375,None,None,-,None,None,517,None,None,396,None,None
Dhaka,600,None,None,450,None,None,561,None,None,400,None,None,560,None,None,350,None,None,636,None,None,550,None,None
Gazipur,650,None,None,525,None,None,625,None,None,550,None,None,575,None,None,488,None,None,720,None,None,560,None,None
Manikganj,550,None,None,0,None,None,518,None,None,425,None,None,471,None,None,400,None,None,606,None,None,495,None,None
Munshiganj,0,None,None,0,None,None,0,None,None,0,None,None,509,None,None,0,None,None,584,None,None,400,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,493,None,None,423,None,None
Narsingdi,0,None,None,0,None,None,581,None,None,413,None,None,547,None,None,0,None,None,585,None,None,0,None,None
Faridpur,655,None,None,200,None,None,0,None,None,0,None,None,550,None,None,0,None,None,691,None,None,313,None,None
Rajbari,617,None,None,0,None,None,577,None,None,0,None,None,0,None,None,0,None,None,672,None,None,480,None,None
Madaripur,450,None,None,400,None,None,0,None,None,0,None,None,600,None,None,0,None,None,566,None,None,456,None,None
Gopalganj,650,None,None,0,None,None,0,None,None,0,None,None,525,None,None,450,None,None,585,None,None,475,None,None
Shariatpur,625,None,None,363,None,None,0,None,None,0,None,None,600,None,None,0,None,None,683,None,None,420,None,None
Tangail,590,None,None,410,None,None,545,None,None,370,None,None,510,None,None,320,None,None,635,None,None,480,None,None
Kishoreganj,0,None,None,0,None,None,535,None,None,0,None,None,573,None,None,0,None,None,587,None,None,0,None,None
Dhaka Division,599,None,None,391,None,None,563,None,None,432,None,None,547,None,None,402,None,None,619,None,None,459,None,None
Mymensing,523,None,None,463,None,None,559,None,None,498,None,None,603,None,None,543,None,None,612,None,None,546,None,None
Jamalpur,490,None,None,-,None,None,540,None,None,-,None,None,570,None,None,-,None,None,595,None,None,-,None,None
Sherpur,,514,,,300,,,554,,,320,,,560,,,-,,,600,,,350,
Netrokona,,521,,,400,,,553,,,450,,,570,,,-,,,582,,,463,
"Mymensing
Division",512,None,None,388,None,None,552,None,None,423,None,None,576,None,None,543,None,None,597,None,None,453,None,None
