District,River,Sundar- bans,Beel,Kaptai Lake,Flood Plain,Pond,Seasonal Cultured Water Body,Baor,Shrimp/ Prawn Farm,Pen Culture,Cage Culture,Total
Dhaka,1291,0,894,0,6287,7935,4839,0,5,2654,0,23905
Faridpur,2819,0,557,0,10375,24071,6573,897,11,1262,0,46565
Gazipur,503,0,1785,0,16752,30884,8092,0,9,911,0,58936
Gopalganj,797,0,1133,0,9284,21833,3316,1106,2362,4866,20,44717
Kishoreganj,2707,0,7675,0,48412,30850,1159,0,4,140,0,90947
Madaripur,1794,0,329,0,8753,14678,222,1548,79,1475,196,29074
Manikganj,3238,0,758,0,11508,14583,3100,0,1,545,0,33733
Munshiganj,3723,0,313,0,12126,10912,5353,0,2,142,0,32571
Narayanganj,1860,0,200,0,1724,10826,3181,0,0,1216,0,19007
Narsingdi,3026,0,1383,0,13108,27250,1493,0,0,101,1649,48010
Rajbari,3198,0,331,0,6696,18444,2745,38,0,11,0,31463
Shariatpur,6628,0,92,0,5908,16698,74,0,50,5,5,29460
Tangail,1693,0,2702,0,11230,45375,2713,0,0,5,0,63718
Dhaka Division,33277,0,18152,0,162163,274339,42860,3589,2523,13333,1870,552106
Jamalpur,3536,0,3203,0,10411,23348,1674,0,6,0,18,42196
Mymensingh,1416,0,6686,0,11202,324345,1352,0,0,0,0,345001
Netrakona,1581,0,7342,0,38347,46067,4312,0,0,101,0,97750
Sherpur,1080,0,2641,0,2857,25779,1853,0,0,0,0,34210
Mymensingh Division,7613,0,19872,0,62817,419539,9191,0,6,101,18,519157
Bagerhat,5700,23713,41,0,7869,19273,1915,20,81225,209,3,139968
Chuadanga,396,0,1102,0,1463,12599,1515,1685,0,0,0,18760
Jashore,1034,0,1995,0,36453,143952,27103,4012,33540,0,0,248089
Jhenaidah,403,0,1132,0,6523,30821,4165,2651,0,0,0,45695
Khulna,4209,1915,269,0,21241,21521,1353,0,81198,0,3,131709
Kushtia,1420,0,635,0,4006,26707,4465,207,1,0,0,37441
Magura,1241,0,231,0,3128,12851,129,268,58,0,0,17906
Meherpur,329,0,483,0,1097,7911,221,256,1,0,0,10298
Narail,1039,0,702,0,3395,5522,634,0,4850,2,0,16144
Satkhira,1547,3260,40,0,14276,48981,2121,205,85921,0,0,156351
Khulna Division,17318,28888,6630,0,99451,330138,43621,9304,286794,211,6,822361
Barguna,7295,0,0,0,3803,8834,783,0,663,0,81,21459
Barishal,49674,0,40,0,10770,42688,7412,0,2945,37,63,113629
Bhola,110836,0,0,0,5599,39875,449,0,43,0,107,156909
Jhalokati,2558,0,15,0,4939,5587,621,0,191,125,0,14036
Patuakhali,35259,0,0,0,11021,28557,256,0,3588,13,0,78694
Pirojpur,4082,0,18,0,4319,10480,1621,0,2608,0,26,23154
Barishal Division,209704,0,73,0,40451,136021,11142,0,10038,175,277,407881
Dinajpur,364,,639,0,6444,59423,4426,0,15,0,8,71319
Gaibandha,2640,,854,0,6495,29280,2559,0,0,395,13,42236
Kurigram,4650,,1468,0,11511,24011,5620,0,3,507,20,47790
Lalmonirhat,263,,678,0,1719,16690,4837,0,0,159,0,24346
Nilphamari,253,,558,0,3788,22881,1616,0,4,45,9,29154
Panchagarh,161,,81,0,3128,15843,1090,0,0,230,14,20547
Rangpur,217,,2018,0,8647,36010,4158,0,31,63,0,51144
Thakurgaon,154,,364,0,4110,29562,687,0,0,14,0,34891
Rangpur Division,8702,,6660,0,45842,233700,24993,0,53,1413,64,321427
Bogura,1133,,2821,0,5075,97936,734,0,19,63,13,107794
Chapai Nawabganj,2250,,3616,0,1843,15491,221,0,0,127,11,23559
Joypurhat,218,,295,0,287,26117,639,0,24,0,0,27580
Naogaon,1400,,5849,0,15603,67812,706,0,6,0,0,91376
Natore,1033,,1231,0,17102,59985,322,0,7,17,0,79697
Pabna,4980,,2427,0,11932,53236,3066,0,7,282,344,76274
Rajshahi,3783,,4169,0,6997,77691,2045,0,1,0,5,94691
Sirajganj,5084,,827,0,34407,32891,1168,0,10,47,1425,75859
Rajshahi Division,19881,,21235,0,93246,431159,8901,0,74,536,1798,576830
Bandarban,227,,0,0,200,1922,0,0,0,0,0,2349
Brahmanbaria,2380,,622,0,22183,43463,4242,0,0,287,120,73297
Chandpur,40748,,338,0,25598,44503,2956,0,63,1400,959,116565
Chattogram,7983,,70,0,790,76120,5420,0,977,0,0,91360
Cumilla,1228,,357,0,73978,156812,82730,0,128,84,140,315457
Cox’s Bazar,4897,,0,0,2029,6020,574,0,24571,0,0,38091
Feni,1486,,0,0,7296,30345,530,0,239,7,14,39917
Khagrachhari,63,,9,0,0,4684,0,0,0,0,0,4756
Lakshmipur,25915,,0,0,10866,35951,728,0,289,9,58,73816
Noakhali,15268,,0,0,28606,56824,1731,0,414,0,0,102843
Rangamati,249,,0,19253,5,2593,0,0,0,118,128,22346
Chattogram Division,100444,,1396,19253,171551,459237,98911,0,26681,1905,1419,880797
Habiganj,1122,,2840,0,29998,21147,1399,0,0,306,0,56812
Moulvibazar,568,,2997,0,26859,26066,815,0,0,0,0,57305
Sunamganj,1013,,25615,0,73383,12232,1865,0,0,22,0,114130
Sylhet,1059,,5347,0,46376,25163,2988,0,0,121,0,81054
Sylhet Division,3762,,36799,0,176616,84608,7067,0,0,449,0,309301
TOTAL,400701,,110817,19253,852137,2368741,246686,12893,326169,18123,5452,4389860
%,9.13,,2.53,0.44,19.41,53.96,5.62,0.29,7.43,0.41,0.12,100
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
