Sl. No.,Species,Production,None
None,None,(MT),%
1,Rui,46441,5.63
2,Catla,19941,2.42
3,Mrigal,25124,3.04
4,Kalibaus,3047,0.37
5,Bata,1253,0.15
6,Ghania,1923,0.23
7,Silver carp,2663,0.32
8,Grass carp,7105,0.86
9,Mirror/Common carp,21433,2.60
10,Other Exotic carp,0,0.00
11,Pangas,9378,1.14
12,Boal/Air,64392,7.80
13,Shol/Gazar/Taki,71112,8.62
14,Koi,9696,1.18
15,Shingi/Magur,59050,7.15
16,Tilapia/ Nilotica,0,0.00
17,Sarpunti/Thai punti,20331,2.46
18,Big Shrimp/ Prawn,1984,0.24
19,Small Shrimp/ Prawn,45911,5.56
20,Cuchia,4653,0.56
21,Other Inland Fish,409996,49.67
T O T A L,None,825433,100
