District,Area (Ha),None,None_1,None_2,Shrimp/ Prawn Production (MT),None_3,None_4,None_5,Crab Produc -tion (MT),Fish Produc- tion (MT),Total Produc- tion (MT)
None,Bagda,Galda,Crab,Total,Bagda,Galda,"Other
shrimp/
prawn","Total
shrimp/
prawn",None,None,None
Dhaka,0,1.26,0,1.26,0,0.17,0,0.17,0,5.18,5.35
Faridpur,0,9.40,0,9.40,0,5.03,0,5.03,0,6.03,11.06
Gazipur,0,2.40,0,2.40,0,0.44,0,0.44,0,8.42,8.86
Gopalganj,0,1486.70,0,1486.70,0,833.85,0,833.85,0,1528.00,2361.85
Kishoreganj,0,1.00,0,1.00,0,0.30,0.20,0.50,0,3.00,3.50
Madaripur,0,19.74,0,19.74,0,11.29,0,11.29,0,67.99,79.28
Manikganj,0,1.00,0,1.00,0,0.74,0,0.74,0,0.50,1.24
Munsiganj,0,0.50,0,0.50,0,0.30,0,0.30,0,1.50,1.80
Narayanganj,0,0,0,0,0,0,0,0,0,0,0
Narsingdi,0,0,0,0,0,0,0,0,0,0,0
Rajbari,0,0,0,0,0,0,0,0,0,0,0
Shariatpur,0,12.00,0,12.00,0,6.95,0,6.95,0,43.00,49.95
Tangail,0,0,0,0,0,0,0,0,0,0,0
Dhaka Div.,0,1534.00,0,1534.00,0,859.07,0.20,859.27,0,1663.62,2522.89
Jamalpur,0,0.50,0,0.50,0,2.50,0,2.50,0,3.00,5.50
Mymensingh,0,0,0,0,0,0,0,0,0,0,0
Netrakona,0,0,0,0,0,0,0,0,0,0,0
Sherpur,0,0,0,0,0,0,0,0,0,0,0
Mymensingh Div.,0,0.50,0,0.50,0,2.50,0,2.50,0,3.00,5.50
Bagerhat,52551.00,19773.30,1609.50,73933.80,20940.30,19716.74,2549.23,43206.27,884.00,37135.09,81225.36
Chuadanga,0,0,0,0,0,0,0,0,0,0,0
Jashore,1278.00,16634.16,65.00,17977.16,465.00,9847.80,89.50,10402.30,0.25,23138.00,33540.55
Jhenaidah,0,0,0,0,0,0,0,0,0,0,0
Khulna,32998.33,19016.44,"7325.0
0",59339.77,12675.45,13415.20,2275.00,28365.65,5225.00,47607.00,81197.65
Kushtia,0,0.90,0,0.90,0,1.00,0,1.00,0,0,1.00
Magura,0,13.95,0,13.95,0,8.55,0,8.55,0,49.40,57.95
Meherpur,0,0,0,0,0,1.00,0,1.00,0,0,1.00
Narail,0,2327.00,0,2327.00,0,2040.00,310.00,2350.00,0,2500.00,4850.00
Satkhira,58294.00,9389.00,321.00,68004.00,26485.00,9185.00,5847.00,41517.00,1966.50,42437.00,85920.50
Khulna Div.,145121.33,67154.75,"9320.5
0",221596.58,60565.75,54215.29,11070.73,125851.77,8075.75,152866.49,286794.01
Barguna,256.50,148.40,8.00,412.90,104.99,100.89,82.94,288.82,35.94,338.50,663.26
Barishal,0,779.00,0,779.00,0,434.50,66.38,500.88,0,2444.00,2944.88
Bhola,22.60,23.40,14.00,60.00,10.05,13.72,1.50,25.27,3.80,14.05,43.12
Jhalokati,0,51.73,0,51.73,0,27.05,0,27.05,0,163.95,191.00
Patuakhali,488.00,717.00,20.00,1225.00,181.00,442.50,410.40,1033.90,171.00,2383.50,3588.40
Pirojpur,40.00,1035.00,6.20,1081.20,19.00,606.00,66.00,691.00,25.20,1891.80,2608.00
Barishal Div.,807.10,2754.53,48.20,3609.83,315.04,1624.66,627.22,2566.92,235.94,7235.80,10038.66
Dinajpur,0,2.52,0,2.52,0,0.98,0,0.98,0,14.02,15.00
Gaibandha,0,0,0,0,0,0,0,0,0,0,0
Kurigram,0,0.50,0,0.50,0,0.30,0,0.30,0,2.70,3.00
Lalmonirhat,0,0,0,0,0,0,0,0,0,0,0
Nilphamari,0,1.15,0,1.15,0,0.84,0,0.84,0,3.31,4.15
Panchagarh,0,0,0,0,0,0,0,0,0,0,0
Rangpur,0,5.35,0,5.35,0,5.37,0,5.37,0,25.50,30.87
Thakurgaon,0,0,0,0,0,0,0,0,0,0,0
Rangpur Div.,0,9.52,0,9.52,0,7.49,0,7.49,0,45.53,53.02
None,Bagda,Galda,Crab,Total,Bagda,Galda,"Other
shrimp/
prawn","Total
shrimp/
prawn",None,None,None
Bogura,0,2.78,0,2.78,0,2.09,0,2.09,0,17.19,19.28
C.Nawabganj,0,0,0,0,0,0,0,0,0,0,0
Joypurhat,0,6.85,0,6.85,0,2.19,0,2.19,0,22.09,24.28
Naogaon,0,1.06,0,1.06,0,0.92,0,0.92,0,4.62,5.54
Natore,0,1.19,0,1.19,0,0.21,0,0.21,0,6.70,6.91
Pabna,0,4.28,0,4.28,0,2.78,0,2.78,0,4.38,7.16
Rajshahi,0,1.52,0,1.52,0,0.57,0,0.57,0,0,0.57
Sirajganj,0,2.96,0,2.96,0,1.33,0,1.33,0,8.41,9.74
Rajshahi Div.,0,20.64,0,20.64,0,10.09,0,10.09,0,63.39,73.48
Bandarban,0,0,0,0,0,0,0,0,0,0,0
Brahmanbaria,0,0,0,0,0,0,0,0,0,0,0
Chandpur,0,37.00,0,37.00,0,33.40,2.00,35.40,0,27.50,62.90
Chattogram,2010.00,151.00,0,2161.00,698.00,220.00,9.00,927.00,0,50.00,977.00
Cumilla,0,40.35,0,40.35,0,30.90,5.20,36.10,0,92.00,128.10
Cox’s Bazar,42125.00,139.68,7286.50,49551.18,14398.80,292.98,2535.50,17227.28,2457.02,4886.60,24570.90
Feni,12.00,33.35,0,45.35,12.00,108.39,0,120.39,0,118.53,238.92
Khagrachhari,0,0,0,0,0,0,0,0,0,0,0
Lakshmipur,0,146.90,0,146.90,0,91.50,1.50,93.00,0,196.00,289.00
Noakhali,0,119.50,17.10,136.60,0,87.10,0,87.10,13.00,314.30,414.40
Rangamati,0,0,0,0,0,0,0,0,0,0,0
Chattogram Div.,44147.00,667.78,7303.60,52118.38,15108.80,864.27,2553.20,18526.27,2470.02,5684.93,26681.22
Habiganj,0,0,0,0,0,0,0,0,0,0,0
Moulvibazar,0,0,0,0,0,0,0,0,0,0,0
Sunamganj,0,0,0,0,0,0,0,0,0,0,0
Sylhet,0,0,0,0,0,0,0,0,0,0,0
Sylhet Div.,0,0,0,0,0,0,0,0,0,0,0
TOTAL,190075.43,72141.72,16672.30,278889.45,75989.59,57583.37,14251.35,147824.31,10781.71,167562.76,326168.78
%,68.15,25.87,5.98,100,23.30,17.65,4.37,45.32,3.31,51.37,100
