District name,May-2023,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,"Without Food (in
TK)",None
None,One meal,None,Two meal,None,Three meal,None,None,None
None,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,564,400
Khagrachari,450,300,0,0,0,0,475,391
Rangamati,438,313,413,300,0,0,506,358
Chattogram,666,452,568,376,491,399,650,447
Cox’sbazar,806,438,726,403,675,375,834,485
Cumilla,776,450,516,310,417,333,800,307
Chandpur,0,0,0,0,0,0,600,0
Brahmmanbaria,596,500,463,420,475,400,604,514
Noakhali,599,0,650,0,525,0,705,0
Lakshmipur,0,0,0,0,0,0,460,0
Feni,602,0,0,0,0,0,684,0
"Chattogram
Division",617,409,556,362,517,377,626,415
Sylhet,466,350,443,0,375,0,497,300
Maulavi Bazar,483,396,400,350,0,0,521,411
Sunamganj,485,315,0,0,0,0,527,347
Habiganj,525,400,0,0,0,0,544,392
Sylhet Division,490,365,422,350,375,0,522,362
Dhaka,784,700,685,650,675,620,669,750
Gazipur,725,475,0,0,709,617,830,660
Manikganj,700,500,629,483,594,400,720,575
Munshiganj,550,350,0,0,487,0,566,329
Narayanganj,665,560,618,545,570,515,702,604
Narsingdi,0,0,750,356,776,509,842,0
Faridpur,593,0,0,0,600,0,618,375
Rajbari,541,0,500,0,0,0,583,0
Madaripur,446,400,450,0,550,0,572,463
Gopalganj,619,0,500,450,622,550,765,650
Shariatpur,510,440,467,425,400,0,558,475
Tangail,820,485,750,435,705,385,815,540
Kishoreganj,0,0,559,0,553,0,634,600
Dhaka Division,632,489,591,478,603,514,683,547
Mymensing,547,480,592,513,607,553,661,598
Jamalpur,540,-,580,-,620,-,660,-
Sherpur,580,-,620,-,658,-,682,-
Netrokona,545,425,568,450,-,-,602,465
"Mymensing
Division",553,453,590,482,628,553,651,532
