Sl. No.,Species,Jamuna,None,None_1,None_2,None_3,None_4,None_5,None_6,Brahmaputra,None_7,None_8,None_9,Total,Grand Total
None,None,"j
n
a
g
k
ni
a
M","a
n
b
a
P","ail
g
n
a
T","j
n
a
g
j
a
r
Si","a
r
u
g
o
B","r
u
p
al
m
a
J","a
h
d
n
a
b
ai
G","al
t
o
T
-
b
u
S","r
u
p
al
m
a
J","a
h
d
n
a
b
ai
G","m
a
r
g
ri
u
K","al
t
o
T
-
b
u
S",None,None
1,Rui,17,14,37,32,13,61,15,189,102,39,56,197,386,1292
2,Catla,9,8,23,39,6,34,6,125,76,38,45,159,284,859
3,Mrigal,8,7,23,38,5,21,6,108,73,29,37,139,247,659
4,Kalibaus,6,0,15,6,0,9,0,36,32,33,25,90,126,259
5,Bata,0,7,0,6,0,0,0,13,0,0,0,0,13,1333
6,Ghania,0,0,0,0,0,0,0,0,0,0,0,0,0,15
7,Pangas,0,0,0,0,0,0,0,0,0,0,0,0,0,707
8,Boal/Air,62,50,81,8,13,42,22,278,149,149,121,419,697,1651
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,181
13,Cuchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Other Inland Fish,573,833,631,1979,58,350,105,4529,1270,791,2637,4698,9227,26324
15,Hilsa/Ilish,0,41,155,397,4,79,6,682,5,7,313,325,1007,187474
16,Galda,0,4,6,0,6,0,0,16,39,30,0,69,85,643
17,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Other small shrimp/prawn,86,61,82,51,31,44,57,412,337,261,199,797,1209,2495
Total,None,761,1025,1053,2556,136,640,217,6388,2083,1377,3433,6893,13281,223892
