District,River,Sundar bans,Beel,Kaptai Lake,Flood Plain,Pond,Seasonal Cultured Water body,Baor,Shrimp/ Prawn Farm,Pen Culture,Cage Culture,Total
Dinajpur,331,0,612,0,6318,55722,4317,0,25,0,0,67325
Gaibandha,2420,0,586,0,6276,28091,1310,0,4,273,8,38968
Kurigram,4471,0,1819,0,11515,22873,5395,0,3,372,15,46463
Lalmonirhat,235,0,630,0,1743,15961,4789,0,0,119,0,23477
Nilphamari,227,0,527,0,3771,22216,1451,0,4,26,6,28228
Panchagarh,137,0,78,0,3080,15267,1018,0,0,106,10,19696
Rangpur,184,0,1953,0,8921,34204,4258,0,21,92,0,49633
Thakurgaon,132,0,233,0,4035,28160,525,0,0,11,0,33096
Rangpur Division,8137,0,6438,0,45659,222494,23063,0,57,999,39,306886
Bogura,1015,0,2733,0,5010,94951,694,0,15,51,12,104481
Chapai Nawabganj,2086,0,3206,0,1569,14983,248,0,0,31,7,22130
Joypurhat,204,0,304,0,277,24964,588,0,21,0,4,26362
Naogaon,1396,0,5461,0,16016,64191,703,0,5,0,0,87772
Natore,944,0,1133,0,16613,55900,295,0,6,12,2,74905
Pabna,4712,0,2721,0,11355,52285,3175,0,4,37,317,74606
Rajshahi,3636,0,4364,0,7027,71370,2101,0,2,0,5,88505
Sirajganj,4839,0,826,0,34384,30317,1163,0,10,46,1408,72993
Rajshahi Division,18832,0,20748,0,92251,408961,8967,0,63,177,1755,551754
Bandarban,164,0,0,0,172,2685,0,0,0,0,0,3021
Brahmanbaria,2298,0,576,0,21800,39578,4051,0,0,216,112,68631
Chandpur,37565,0,317,0,25305,42644,2942,0,124,1349,952,111198
Chattogram,7604,0,69,0,757,72535,3267,0,930,0,0,85162
Cumilla,1167,0,353,0,74063,151662,82297,0,121,84,140,309887
Cox’s Bazar,4860,0,0,0,1735,5434,165,0,25076,0,0,37270
Feni,1481,0,0,0,7266,28378,527,0,118,7,14,37791
Khagrachhari,184,0,40,0,0,6667,0,0,0,0,0,6891
Lakshmipur,25595,0,0,0,11029,35335,870,0,178,0,74,73081
Noakhali,15153,0,0,0,28678,54440,1366,0,412,0,0,100049
Rangamati,253,0,0,17056,5,2491,0,0,0,113,104,20022
Chattogram Division,96324,0,1355,17056,170810,441849,95485,0,26958,1769,1396,853003
Habiganj,1111,0,2751,0,30117,20733,1250,0,18,0,0,55980
Moulvibazar,550,0,3112,0,25568,25510,824,0,0,0,0,55564
Sunamganj,1012,0,25093,0,72011,12123,1814,0,0,21,0,112074
Sylhet,960,0,5683,0,43769,23297,1664,0,0,24,0,75397
Sylhet Division,3633,0,36639,0,171465,81663,5552,0,19,45,0,299015
TOTAL,389035,26047,108625,17056,842520,2272667,231582,12158,313984,16402,5254,4235330
%,9.19,0.62,2.56,0.40,19.89,53.66,5.47,0.29,7.41,0.39,0.12,100
