(Per Quintal/100 Pieces in Taka),None,None_1,None_2,None_3,None_4,None_5
SL:,Name of crops,2013-14,2014-15,2015-16,2016-17,2017-18
1,2,3,4,5,6,7
1,Aman Paddy Local,1939,1736,1368,2023,2284
2,Aman Paddy H Y V,2113,1960,1566,2221,2590
3,Aus Paddy Local,-,-,1336,1920,2173
4,Aus Paddy HYV,-,-,1315,1920,2258
5,Aus Paddy Pajam,-,-,,1625,2425
6,Boro Paddy Local,1789,1688,1433,1870,2175
7,Boro Paddy HYV,1909,1848,1622,2038,2514
8,Wheat,2248,2103,2045,1996,2123
9,Mash,5079,6015,7415,7005,5735
10,Masur,7032,7028,8727,7605,5966
11,Mung,7575,7445,6152,7083,6786
12,Gram,4555,4845,6064,7667,7117
13,Motor,4106,3651,5061,6453,4733
14,Kheshari,3162,2791,4046,4978,3591
15,Mustard,4037,4440,4335,4502,4815
16,Lin seeds,4489,4389,4775,5309,5267
17,Til,3997,4791,4271,3429,4152
18,Groundnut,5067,6020,6621,6539,5766
19,Onion,4165,2887,3356,2134,4057
20,Garlic,7073,5902,7066,10955,5374
21,Chillies (dry),13850,14351,13138,13988,13353
22,Chillies (green),4648,3685,5057,4090,5539
23,Zinzer,11653,9573,7461,6509,7015
24,Turmeric,5859,10200,12214,12284,12073
25,Corriander Seeds,6900,11065,8479,7144,6720
26,Betel nut,22284,24831,23155,22760,26664
27,Betel leaves,5354,5354,5127,4583,5860
28,Jute (Tossa),3942,4556,4754,3988,3915
SL:,Name of crops,2013-14,2014-15,2015-16,2016-17,2017-18
1,2,3,4,5,6,7
29,Jute (mesta),3153,3495,3919,3811,3679
30,Arum,1775,1571,2211,2027,2349
31,karola,2557,2598,2867,2898,2926
32,Jhinga,1883,2212,2429,2296,2975
33,Ladys Finger,1969,2071,2362,2375,2828
34,Cabbage,1114,929,1122,1439,1524
35,Pumkin,1562,1306,1324,1446,1185
36,Beans,2049,1924,1823,2587,2997
37,Pumpkin,940,999,1047,1162,1775
38,Cucumber,1720,1650,1981,1984,1933
39,Patal,1816,2087,2246,2191,2628
40,Cauliflower,1617,1261,1640,1951,1900
41,Brinjal,2050,2005,2361,2411,2736
42,Radish,938,824,914,1246,1204
43,Water gourd,1526,1265,1330,1563,1605
44,Chichinga,1559,1852,2035,1950,2134
45,Tomato,1904,1986,1697,2006,2302
46,Chalkumra,1221,1382,1551,1528,1515
47,Potato (local),1449,1772,1897,1718,1580
48,Potato (Holand),1008,1277,1520,1325,1266
49,S.Potato,1267,1270,1400,1302,1573
50,Banana (Champa),186,203,211,197,191
51,Banana (Sabri),305,321,319,345,328
52,Banana (Shagar),223,249,237,268,255
53,Pine Apple (Jul Doog),1867,1653,1717,1599,1903
54,Pine Apple (Kelendar),2018,1852,2506,2149,2327
55,Lemon,206,258,258,272,265
SL:,Name of crops,2013-14,2014-15,2015-16,2016-17,2017-18
1,2,3,4,5,6,7
56,Jack Fruit,6529,6228,4636,7717,4089
57,Water melon,7639,6220,8005,8555,6249
58,Litchi,263,190,204,224,207
59,Orange,988,1534,887,909,1001
60,Mango (Guti),3855,3059,3392,2988,3199
61,Mango (Fozli),6182,5685,5393,8966,4710
62,Mango (Ashwini),4468,4759,4373,5579,4253
63,Mango (Langra),4987,4989,4666,5122,5128
64,Mango (Gopalvog),4907,4671,4500,4500,3708
65,Coconut,2625,2637,2555,2470,2389
