District name,Apr-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,633,None,None,433,None,None,583,None,None,375,None,None,533,None,None,325,None,None,664,None,None,479,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,369,None,None,281,None,None,313,None,None,231,None,None,0,None,None,0,None,None,539,None,None,369,None,None
Chattogram,630,None,None,410,None,None,586,None,None,380,None,None,529,None,None,325,None,None,712,None,None,450,None,None
Cox’sbazar,769,None,None,400,None,None,704,None,None,365,None,None,713,None,None,0,None,None,821,None,None,475,None,None
Cumilla,552,None,None,350,None,None,543,None,None,400,None,None,457,None,None,300,None,None,603,None,None,402,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,492,None,None,417,None,None,450,None,None,350,None,None,400,None,None,0,None,None,558,None,None,488,None,None
Noakhali,633,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,712,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,460,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,575,None,None,370,None,None,540,None,None,350,None,None,526,None,None,317,None,None,624,None,None,438,None,None
Sylhet,471,None,None,375,None,None,414,None,None,0,None,None,400,None,None,0,None,None,515,None,None,450,None,None
Maulavi Bazar,523,None,None,420,None,None,460,None,None,376,None,None,0,None,None,0,None,None,542,None,None,430,None,None
Sunamganj,491,None,None,362,None,None,0,None,None,0,None,None,0,None,None,0,None,None,532,None,None,400,None,None
Habiganj,588,None,None,475,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,471,None,None
Sylhet Division,518,None,None,408,None,None,437,None,None,376,None,None,400,None,None,0,None,None,547,None,None,438,None,None
Dhaka,730,None,None,450,None,None,670,None,None,450,None,None,590,None,None,400,None,None,740,None,None,600,None,None
Gazipur,638,None,None,500,None,None,0,None,None,0,None,None,531,None,None,444,None,None,710,None,None,575,None,None
Manikganj,550,None,None,450,None,None,531,None,None,400,None,None,500,None,None,350,None,None,606,None,None,488,None,None
Munshiganj,550,None,None,350,None,None,0,None,None,0,None,None,541,None,None,400,None,None,608,None,None,450,None,None
Narayanganj,675,None,None,570,None,None,615,None,None,533,None,None,550,None,None,400,None,None,696,None,None,584,None,None
Narsingdi,0,None,None,0,None,None,639,None,None,500,None,None,600,None,None,0,None,None,720,None,None,0,None,None
Faridpur,550,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,607,None,None,290,None,None
Rajbari,567,None,None,0,None,None,310,None,None,0,None,None,0,None,None,0,None,None,595,None,None,0,None,None
Madaripur,546,None,None,463,None,None,0,None,None,0,None,None,550,None,None,0,None,None,601,None,None,535,None,None
Gopalganj,550,None,None,0,None,None,0,None,None,0,None,None,592,None,None,500,None,None,755,None,None,650,None,None
Shariatpur,605,None,None,363,None,None,0,None,None,0,None,None,600,None,None,0,None,None,667,None,None,420,None,None
Tangail,610,None,None,440,None,None,633,None,None,390,None,None,468,None,None,340,None,None,699,None,None,480,None,None
Kishoreganj,808,None,None,0,None,None,805,None,None,0,None,None,831,None,None,0,None,None,874,None,None,0,None,None
Dhaka Division,615,None,None,448,None,None,600,None,None,455,None,None,578,None,None,405,None,None,683,None,None,507,None,None
Mymensing,588,None,None,506,None,None,575,None,None,454,None,None,532,None,None,440,None,None,666,None,None,542,None,None
Jamalpur,590,None,None,0,None,None,550,None,None,0,None,None,530,None,None,0,None,None,650,None,None,0,None,None
None,None,590,None,None,0,None,None,550,None,None,0,None,None,530,None,None,0,None,None,650,None,None,0,None
Sherpur,,642,,,400,,,600,,,375,,,600,,,0,,,700,,,450,
Netrokona,,655,,,525,,,626,,,508,,,575,,,400,,,699,,,568,
Mymensing Division,619,None,None,477,None,None,588,None,None,446,None,None,559,None,None,420,None,None,679,None,None,520,None,None
