Sl. No.,Species,Lower Meghna,Upper Meghna,Lower Padma,Upper Padma,Jamuna,Brahma- Putra,Total Principal River,Other River,Total,%
1,Rui,347,287,248,230,147,210,1469,1943,3412,1.00
2,Catla,228,160,155,154,114,171,982,1162,2144,0.63
3,Mrigal,199,132,126,66,105,149,777,756,1533,0.45
4,Kalibaus,13,40,61,46,38,97,295,367,662,0.19
5,Bata,2045,88,0,0,12,0,2145,290,2435,0.71
6,Ghania,0,18,0,0,0,0,18,17,35,0.01
7,Pangas,720,74,74,202,0,0,1070,199,1269,0.37
8,Boal/Ayre,653,242,349,217,258,441,2160,1314,3474,1.01
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,835,835,0.24
10,Koi,0,0,0,0,0,0,0,104,104,0.03
11,Shingi/Magur,0,0,0,0,0,0,0,95,95,0.03
12,Sarpunti,37,27,172,0,0,0,236,18,254,0.07
13,Cuchia,0,0,0,0,0,0,0,2524,2524,0.74
14,Other Inland Fish,6565,5252,4079,4834,4505,4874,30109,34815,64924,18.95
15,Hilsa/Ilish,181457,1032,5836,547,573,312,189757,54278,244035,71.24
16,Galda,620,150,70,24,35,77,976,329,1305,0.38
17,Bagda,0,0,0,0,0,0,0,49,49,0.01
18,Harina,0,0,0,0,0,0,0,3098,3098,0.90
19,Chaka,0,0,0,0,0,0,0,19,19,0.01
20,"Other small
shrimp/prawn",909,339,284,207,415,842,2996,7343,10339,3.02
TOTAL,None,193793,7841,11454,6527,6202,7173,232990,109555,342545,100
