District name,May-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,650,None,None,450,None,None,600,None,None,400,None,None,575,None,None,350,None,None,650,None,None,436,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,438,None,None,313,None,None,400,None,None,300,None,None,0,None,None,0,None,None,513,None,None,357,None,None
Chattogram,638,None,None,0,None,None,568,None,None,0,None,None,533,None,None,0,None,None,733,None,None,450,None,None
Cox’sbazar,856,None,None,467,None,None,775,None,None,440,None,None,750,None,None,0,None,None,906,None,None,500,None,None
Cumilla,628,None,None,350,None,None,557,None,None,400,None,None,460,None,None,300,None,None,641,None,None,408,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,492,None,None,417,None,None,450,None,None,350,None,None,400,None,None,0,None,None,558,None,None,488,None,None
Noakhali,633,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,712,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,480,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,604,None,None,383,None,None,564,None,None,378,None,None,541,None,None,325,None,None,635,None,None,434,None,None
Sylhet,471,None,None,375,None,None,414,None,None,0,None,None,375,None,None,0,None,None,515,None,None,450,None,None
Maulavi Bazar,523,None,None,420,None,None,400,None,None,376,None,None,0,None,None,0,None,None,542,None,None,430,None,None
Sunamganj,480,None,None,355,None,None,0,None,None,0,None,None,0,None,None,0,None,None,524,None,None,392,None,None
Habiganj,538,None,None,400,None,None,0,None,None,0,None,None,0,None,None,0,None,None,567,None,None,600,None,None
Sylhet Division,503,None,None,388,None,None,407,None,None,376,None,None,375,None,None,0,None,None,537,None,None,468,None,None
Dhaka,730,None,None,450,None,None,670,None,None,450,None,None,590,None,None,400,None,None,740,None,None,600,None,None
Gazipur,750,None,None,650,None,None,0,None,None,0,None,None,725,None,None,600,None,None,830,None,None,700,None,None
Manikganj,750,None,None,550,None,None,684,None,None,517,None,None,650,None,None,400,None,None,785,None,None,625,None,None
Munshiganj,0,None,None,0,None,None,0,None,None,0,None,None,530,None,None,0,None,None,611,None,None,375,None,None
Narayanganj,675,None,None,570,None,None,615,None,None,533,None,None,550,None,None,500,None,None,688,None,None,589,None,None
Narsingdi,0,None,None,0,None,None,760,None,None,469,None,None,786,None,None,509,None,None,847,None,None,0,None,None
Faridpur,544,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,611,None,None,300,None,None
Rajbari,550,None,None,0,None,None,507,None,None,0,None,None,0,None,None,0,None,None,606,None,None,0,None,None
Madaripur,454,None,None,436,None,None,450,None,None,0,None,None,450,None,None,0,None,None,567,None,None,424,None,None
Gopalganj,550,None,None,0,None,None,0,None,None,0,None,None,617,None,None,500,None,None,745,None,None,,None,None
Shariatpur,595,None,None,363,None,None,0,None,None,0,None,None,600,None,None,0,None,None,658,None,None,420,None,None
Tangail,810,None,None,640,None,None,675,None,None,590,None,None,650,None,None,540,None,None,776,None,None,513,None,None
Kishoreganj,645,None,None,0,None,None,625,None,None,0,None,None,600,None,None,0,None,None,692,None,None,0,None,None
Dhaka Division,641,None,None,523,None,None,623,None,None,512,None,None,613,None,None,493,None,None,704,None,None,505,None,None
Mymensing,,570,,,496,,,556,,,462,,,528,,,435,,,635,,,528,
Jamalpur,,580,,,0,,,540,,,0,,,510,,,0,,,660,,,0,
Sherpur,,724,,,400,,,692,,,350,,,650,,,0,,,740,,,450,
Netrokona,,638,,,525,,,609,,,520,,,575,,,400,,,679,,,550,
Mymensing Division,628,None,None,474,None,None,599,None,None,444,None,None,566,None,None,418,None,None,679,None,None,509,None,None
