Name of the crops,Loss in production (M.tons/bales) by natural calamities,None,None_1
None,"Flood /Excessive Rainfall
/ flash Flood / Rush of
water","Cyclone/Hailstorm/Tornado/Tidal bore/
Sidre",Total
Local Aus,1116,-,1116
HYV Aus,63366,,63366
Total Aus,64482,-,64482
HYVAman,731577,-,731577
(Broad cast) Aman,3328,-,3328
Aman Total,734905,-,734905
Jute,33895,-,33895
Aman Seed bed,460,-,460
Patal,5995,-,5995
Chalkumra,1246,-,1246
Summer Brinjal,6035,-,6035
Cucumber,463,-,463
Kharif Chilies’,740,-,740
karala,520,-,520
Puisak,1513,-,1513
Other Summer Vegetables,20759,-,20759
Lalsak,256,-,256
Data Sak,535,-,535
Kakrol,323,-,323
Katcha Papya,352,-,352
Chichinga,162,-,162
Barbati,195,-,195
Turmeric,95,-,95
Ginger,1248,-,1248
Betel leave,4129,-,4129
Ladies Finger,117,-,117
Dhundal,29,-,29
Arum,1305,-,1305
Jhinga,398,-,398
Kachur Lati,81,-,81
