District name,Jan-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,643,None,None,471,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,446,None,None,317,None,None,325,None,None,300,None,None,0,None,None,0,None,None,540,None,None,338,None,None
Chattogram,686,None,None,464,None,None,602,None,None,412,None,None,558,None,None,400,None,None,722,None,None,489,None,None
Cox’sbazar,756,None,None,425,None,None,702,None,None,390,None,None,683,None,None,0,None,None,824,None,None,475,None,None
Cumilla,579,None,None,357,None,None,494,None,None,350,None,None,414,None,None,317,None,None,642,None,None,417,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,525,None,None,425,None,None,467,None,None,400,None,None,433,None,None,350,None,None,604,None,None,528,None,None
Noakhali,631,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,711,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,420,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,590,None,None,381,None,None,532,None,None,370,None,None,522,None,None,356,None,None,627,None,None,446,None,None
Sylhet,464,None,None,350,None,None,415,None,None,0,None,None,375,None,None,0,None,None,508,None,None,400,None,None
Maulavi Bazar,480,None,None,396,None,None,450,None,None,350,None,None,0,None,None,0,None,None,515,None,None,426,None,None
Sunamganj,471,None,None,364,None,None,0,None,None,0,None,None,0,None,None,0,None,None,516,None,None,403,None,None
Habiganj,500,None,None,350,None,None,0,None,None,0,None,None,0,None,None,0,None,None,503,None,None,400,None,None
Sylhet Division,479,None,None,365,None,None,433,None,None,350,None,None,375,None,None,0,None,None,510,None,None,407,None,None
Dhaka,562,None,None,450,None,None,541,None,None,400,None,None,550,None,None,350,None,None,622,None,None,550,None,None
Gazipur,638,None,None,500,None,None,550,None,None,450,None,None,550,None,None,438,None,None,730,None,None,555,None,None
Manikganj,538,None,None,450,None,None,507,None,None,425,None,None,482,None,None,400,None,None,600,None,None,484,None,None
Munshiganj,600,None,None,0,None,None,0,None,None,0,None,None,539,None,None,0,None,None,600,None,None,350,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,491,None,None,423,None,None
Narsingdi,0,None,None,0,None,None,556,None,None,420,None,None,540,None,None,0,None,None,589,None,None,0,None,None
Faridpur,566,None,None,0,None,None,0,None,None,0,None,None,500,None,None,0,None,None,589,None,None,0,None,None
Rajbari,567,None,None,0,None,None,533,None,None,0,None,None,0,None,None,0,None,None,589,None,None,0,None,None
Madaripur,429,None,None,419,None,None,0,None,None,0,None,None,500,None,None,0,None,None,589,None,None,443,None,None
Gopalganj,450,None,None,0,None,None,0,None,None,0,None,None,425,None,None,400,None,None,589,None,None,433,None,None
Shariatpur,625,None,None,363,None,None,0,None,None,0,None,None,600,None,None,0,None,None,589,None,None,420,None,None
Tangail,660,None,None,490,None,None,553,None,None,440,None,None,528,None,None,390,None,None,589,None,None,520,None,None
Kishoreganj,563,None,None,0,None,None,552,None,None,0,None,None,569,None,None,0,None,None,589,None,None,0,None,None
Dhaka Division,563,None,None,445,None,None,542,None,None,427,None,None,526,None,None,396,None,None,597,None,None,464,None,None
Mymensing,,576,,,470,,,532,,,432,,,502,,,362,,,589,,,492,
Jamalpur,,550,,,0,,,530,,,0,,,515,,,0,,,589,,,0,
Sherpur,,570,,,350,,,526,,,300,,,600,,,0,,,589,,,400,
Netrokona,,598,,,445,,,583,,,410,,,563,,,350,,,589,,,487,
Mymensing Division,574,None,None,422,None,None,543,None,None,381,None,None,545,None,None,356,None,None,589,None,None,460,None,None
