Sl. No.,Species,a k a h D,r u p d ri a F,r u p zi a G,j n a g al p o G,r u p al m a J,j n a g e r o h s Ki,r u p ri a d a M,j n a g k ni a M,j n a g hi s n u M,h g n si n e m y M,j n a g n a y a r a N,di g n si r a N,a n o k a r t e N,ri a b j a R,r u p t a ri a h S,r u p r e h S,ail g n a T,al t o t - b u S
1,Rui,42,23,15,43,19,59,10,16,11,36,0,12,29,25,19,82,11,452
2,Catla,37,15,14,23,10,24,6,12,6,15,0,7,10,10,12,78,7,286
3,Mrigal,21,9,11,25,9,12,0,5,4,11,0,4,10,6,10,46,5,188
4,Kalibaus,16,9,8,11,7,0,0,3,4,92,0,0,22,8,8,34,3,225
5,Bata,0,0,9,0,2,0,0,3,0,0,0,0,0,0,0,0,0,14
6,Ghania,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Pangas,0,7,0,6,4,0,0,0,21,0,0,0,0,11,0,0,5,54
8,Boal/Air,33,24,6,18,5,52,10,8,83,89,0,0,21,32,14,79,9,483
9,Shol/Gazar/Taki,29,0,10,39,4,11,0,5,0,10,0,0,9,5,6,58,0,186
10,Koi,6,0,0,21,3,0,0,5,0,0,0,0,0,0,0,16,0,51
11,Shingi/Magur,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,15,0,20
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cuchia,10,24,37,102,8,44,50,17,31,26,10,32,48,11,13,7,14,484
14,Other Inland Fish,127,413,309,279,127,1224,182,251,221,971,444,417,1311,324,286,236,186,7308
15,Hilsa/Ilish,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
16,Galda,10,9,0,9,2,0,0,6,13,6,0,12,0,14,6,40,7,134
17,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Other small
shrimp/prawn",128,49,122,121,10,3,28,34,32,39,23,60,25,208,25,275,22,1204
Total,None,459,582,541,705,212,1429,286,369,426,1295,477,544,1485,654,399,966,269,11098
