Sl. no,District Name,UpaZila Name,Reserve Forest,None,Protected Forest,Acqired Forest,Vested Forest,Un- classed Forest,TotalForest Area Control by F.D,Unclassed StateForest R.D,Khas F.Area,TotalForest Area (Acres) (F.D+R.D)
None,None,None,"20th
Amendments",4&6 Amendments,None,None,None,None,None,None,None,None
1,2,3,4,5,6,7,8,9,10,11,12,13
14,Habiganj,Madhabpur,4765,2500,-,-,-,-,7265,-,-,7265
,,Chunarughat,17856.22,4459.39,-,-,-,-,22315.61,-,-,22315.61
,,Bahubal,3307.63,-,-,-,-,-,3307.63,2200,1350,6857.63
,,Nabiganj,500,-,-,-,-,-,500,-,-,500
,Total,4,26428.85,6959.39,-,-,-,-,33388.24,2200,1350,36938.24
15,Maulvibazar,Kamalganj,26995.23,841.30,-,-,-,-,27836.53,-,-,27836.53
,,M.bazar sadar,885.87,-,-,95,-,-,980.87,-,-,980.87
,,Kulaura,14882.55,3006.58,-,10837,-,-,28726.13,-,-,28726.13
,,Sreemangal,2867,-,-,-,-,-,2867,1079.41,-,3946.41
,,Rajnagar,274.26,-,-,-,-,-,274.26,-,-,274.26
,,Baralekha,13570.90,1368,-,-,-,-,14938.90,-,-,14938.90
,Total,6,59475.81,5215.88,-,10932,-,-,75623.69,1079.41,-,76703.10
16,Sunamganj,Taherpur,2102.80,1500,-,-,-,-,3602.8,-,-,3602.80
,,Bhisambarpur,-,2000,-,-,-,-,2000,-,-,2000
,,S.ganj sadar,600,1015,-,-,-,-,1615,-,-,1615
,,Dharmapasha,-,1500,-,-,-,-,1500,-,-,1500
,,Chatak,891.40,2447.27,-,-,-,-,3338.67,-,-,3338.67
,,Doarabazar,5087.62,470.36,-,-,-,-,5557.98,-,-,5557.98
,Total,6,8681.82,8932.63,-,-,-,-,17614.45,-,-,17614.45
17,Bagerhat,Sharankhola,"341,790.00",-,-,-,-,-,341790,-,-,341790
,,Morelganj,"58,130.00",-,-,-,-,-,58130,-,-,58130
,,Mongla,"267,611.00",-,-,-,-,-,267611,-,-,267611
,Total,3,"667,511.00",-,-,-,-,-,667531,-,-,667531
18,Khulna,Dakop,"122,240.00",-,-,-,-,-,122240,-,-,122240
,,Koira,"235,160.00",-,-,-,-,-,235160,-,-,235160
,Total,2,"357,400.00",-,-,-,-,-,357400,-,-,357400
19,Satkhira,Shampur,"400,965.00",-,-,-,-,-,400965,-,-,400965
,,Debahata,-,-,-,-,-,-,-,-,-,-
,,Satkhira sadar,-,-,-,-,-,-,-,-,-,-
,Total,3,"400,965.00",-,-,-,-,-,400965,-,-,400965
20,Rangamati,Rangamati sadar,-,7000,-,-,-,-,7000,88406,19.80,95425.80
,,Bhagaichari,"333,799.80",-,-,-,-,-,333799.80,83519.72,-,417319.52
,,Langadu,"6,723.00",7514.30,-,-,-,-,14237.30,82488.60,-,96725.90
,,Barkal,582.40,-,-,-,-,-,582.40,192866.10,-,193448.50
,,Kaptai,"20,804.02",10605.17,-,1.5,-,-,31410.69,67609.34,-,99021.03
,,Bilaichari,"148,622.60",-,-,-,-,-,148622.60,37818.40,-,186441
,,Jurachari,"39,915.00",-,-,-,-,-,39915,84095.50,-,124010.50
,,Kawkhali,"6,329.00",6591.74,-,-,-,-,12920.74,28090.40,0.71,41011.85
,,Naniarchar,-,15000,-,-,-,-,15000,66540.36,-,81540.36
,,Rajasthali,"16,489.33","10,416.50",-,-,-,-,26905.83,32456.12,-,59361.95
,Total,10,"573,265.15",57127.71,-,1.5,-,-,630394.36,763890.54,21.51,1394306.41
21,Khagrachari,Kharachari sadar,"7,642.71",1989.29,-,-,-,-,9632,59027.25,-,68659.25
,,Dighinala,"71,567.62",1825.88,-,-,-,459,73852.50,99820.57,-,173673.07
,,Mahalchari,"5,802.50",807.50,-,-,-,1420,8030,42055.77,-,50085.77
,,Lakshmichari,-,-,-,-,-,165,165,34639.39,-,34804.39
,,Matiranga,"2,180.00",1605,-,-,-,1225.51,5010.51,95049.36,-,100059.87
,,Panchari,"1,300.00",1115,-,-,-,933.25,3348.25,95049.36,-,10059.87
,,Ramnagar,-,-,-,-,-,-,-,31413.83,-,31413.83
,,Manikchari,-,-,-,-,-,-,-,19863.29,-,19863.29
,Total,8,"88,492.83",7342.67,-,-,-,4202.76,100038.26,454077.95,-,554116.21
