District name,Dec-2023,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,643,None,None,471,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,446,None,None,317,None,None,325,None,None,241,None,None,0,None,None,0,None,None,540,None,None,338,None,None
Chattogram,667,None,None,452,None,None,585,None,None,419,None,None,544,None,None,388,None,None,727,None,None,478,None,None
Cox’sbazar,756,None,None,425,None,None,702,None,None,390,None,None,683,None,None,0,None,None,824,None,None,475,None,None
Cumilla,488,None,None,388,None,None,413,None,None,317,None,None,380,None,None,267,None,None,564,None,None,451,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,525,None,None,425,None,None,467,None,None,400,None,None,433,None,None,350,None,None,604,None,None,528,None,None
Noakhali,606,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,694,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,420,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,574,None,None,384,None,None,515,None,None,353,None,None,513,None,None,335,None,None,619,None,None,449,None,None
Sylhet,464,None,None,350,None,None,415,None,None,0,None,None,375,None,None,0,None,None,508,None,None,400,None,None
Maulavi Bazar,488,None,None,396,None,None,450,None,None,350,None,None,0,None,None,0,None,None,515,None,None,426,None,None
Sunamganj,501,None,None,366,None,None,0,None,None,0,None,None,0,None,None,0,None,None,555,None,None,407,None,None
Habiganj,513,None,None,350,None,None,0,None,None,0,None,None,0,None,None,0,None,None,522,None,None,427,None,None
Sylhet Division,491,None,None,365,None,None,433,None,None,350,None,None,375,None,None,-,None,None,525,None,None,415,None,None
Dhaka,623,None,None,450,None,None,553,None,None,400,None,None,575,None,None,350,None,None,645,None,None,550,None,None
Gazipur,638,None,None,500,None,None,0,None,None,0,None,None,588,None,None,475,None,None,755,None,None,560,None,None
Manikganj,550,None,None,450,None,None,533,None,None,400,None,None,497,None,None,350,None,None,610,None,None,500,None,None
Munshiganj,600,None,None,0,None,None,0,None,None,0,None,None,539,None,None,0,None,None,592,None,None,400,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,495,None,None,429,None,None
Narsingdi,0,None,None,0,None,None,523,None,None,297,None,None,529,None,None,350,None,None,564,None,None,400,None,None
Faridpur,596,None,None,0,None,None,0,None,None,0,None,None,500,None,None,0,None,None,627,None,None,450,None,None
Rajbari,575,None,None,0,None,None,533,None,None,0,None,None,0,None,None,0,None,None,630,None,None,0,None,None
Madaripur,417,None,None,400,None,None,0,None,None,0,None,None,500,None,None,0,None,None,500,None,None,394,None,None
Gopalganj,500,None,None,0,None,None,0,None,None,0,None,None,450,None,None,400,None,None,565,None,None,442,None,None
Shariatpur,625,None,None,363,None,None,0,None,None,0,None,None,600,None,None,0,None,None,683,None,None,420,None,None
Tangail,550,None,None,390,None,None,513,None,None,340,None,None,477,None,None,290,None,None,598,None,None,470,None,None
Kishoreganj,566,None,None,0,None,None,550,None,None,0,None,None,578,None,None,0,None,None,615,None,None,0,None,None
Dhaka Division,567,None,None,426,None,None,534,None,None,359,None,None,530,None,None,369,None,None,606,None,None,380,None,None
Mymensingh,,577,,,469,,,530,,,429,,,498,,,385,,,619,,,500,
Jamalpur,,530,,,-,,,510,,,-,,,485,,,-,,,580,,,-,
Sherpur,,540,,,350,,,498,,,300,,,500,,,-,,,576,,,400,
Netrokona,,601,,,550,,,574,,,500,,,563,,,400,,,640,,,587,
Mymensingh Division,562,None,None,456,None,None,528,None,None,410,None,None,512,None,None,393,None,None,604,None,None,496,None,None
