District name,Jul-2023,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Without Food
(in TK)",None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,557,None,None,400,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,475,None,None,391,None,None
Rangamati,442,None,None,321,None,None,313,None,None,229,None,None,0,None,None,0,None,None,499,None,None,344,None,None
Chattogram,624,None,None,456,None,None,565,None,None,385,None,None,583,None,None,399,None,None,665,None,None,453,None,None
Cox’sbazar,714,None,None,425,None,None,649,None,None,375,None,None,592,None,None,317,None,None,740,None,None,457,None,None
Cumilla,518,None,None,330,None,None,411,None,None,304,None,None,402,None,None,317,None,None,400,None,None,300,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,459,None,None,400,None,None,413,None,None,0,None,None,400,None,None,400,None,None,559,None,None,453,None,None
Noakhali,578,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,667,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,500,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
"Chattogram
Division",554,None,None,372,None,None,507,None,None,323,None,None,500,None,None,345,None,None,578,None,None,400,None,None
Sylhet,468,None,None,350,None,None,448,None,None,0,None,None,375,None,None,0,None,None,501,None,None,300,None,None
Maulavi Bazar,465,None,None,368,None,None,400,None,None,350,None,None,0,None,None,0,None,None,520,None,None,415,None,None
Sunamganj,480,None,None,310,None,None,0,None,None,0,None,None,0,None,None,0,None,None,530,None,None,347,None,None
Habiganj,475,None,None,450,None,None,0,None,None,0,None,None,0,None,None,0,None,None,442,None,None,360,None,None
Sylhet Division,472,None,None,370,None,None,424,None,None,350,None,None,375,None,None,0,None,None,498,None,None,355,None,None
Dhaka,572,None,None,500,None,None,535,None,None,450,None,None,550,None,None,400,None,None,617,None,None,550,None,None
Gazipur,575,None,None,475,None,None,550,None,None,450,None,None,525,None,None,400,None,None,660,None,None,520,None,None
Manikganj,550,None,None,450,None,None,518,None,None,400,None,None,475,None,None,350,None,None,602,None,None,500,None,None
Munshiganj,0,None,None,0,None,None,0,None,None,0,None,None,504,None,None,0,None,None,572,None,None,400,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,486,None,None,433,None,None
Narsingdi,0,None,None,0,None,None,566,None,None,0,None,None,563,None,None,0,None,None,568,None,None,0,None,None
Faridpur,613,None,None,0,None,None,0,None,None,0,None,None,550,None,None,0,None,None,658,None,None,310,None,None
Rajbari,583,None,None,350,None,None,567,None,None,0,None,None,0,None,None,0,None,None,625,None,None,380,None,None
Madaripur,483,None,None,400,None,None,0,None,None,0,None,None,700,None,None,0,None,None,591,None,None,456,None,None
Gopalganj,523,None,None,0,None,None,0,None,None,0,None,None,419,None,None,350,None,None,555,None,None,450,None,None
Shariatpur,625,None,None,350,None,None,0,None,None,0,None,None,575,None,None,0,None,None,646,None,None,390,None,None
Tangail,565,None,None,420,None,None,550,None,None,380,None,None,500,None,None,330,None,None,630,None,None,485,None,None
Kishoreganj,0,None,None,0,None,None,520,None,None,0,None,None,577,None,None,0,None,None,585,None,None,0,None,None
"Dhaka
Division",565,None,None,421,None,None,544,None,None,420,None,None,540,None,None,366,None,None,600,None,None,404,None,None
Mymensing,540,None,None,437,None,None,568,None,None,490,None,None,600,None,None,517,None,None,628,None,None,543,None,None
Jamalpur,540,None,None,-,None,None,575,None,None,-,None,None,595,None,None,-,None,None,650,None,None,-,None,None
Sherpur,,486,,,-,,,516,,,-,,,528,,,-,,,578,,,-,
Netrokona,517,517,None,400,400,None,544,544,None,430,430,None,-,-,None,-,-,None,586,586,None,453,453,None
"Mymensing
Division",521,None,None,419,None,None,551,None,None,460,None,None,574,None,None,517,None,None,611,None,None,498,None,None
