Sl. No.,Species,Lower Padma,None,None_1,None_2,None_3,None_4,None_5,None_6,Upper Padma,None_7,None_8,None_9,None_10,None_11,None_12,Total
None,None,"r
u
p
t
a
ri
a
h
S","r
u
p
ri
a
d
a
M","j
n
a
g
hi
s
n
u
M","a
k
a
h
D","j
n
a
g
k
ni
a
M","r
u
p
d
ri
a
F","ri
a
b
j
a
R","Sub-
Total","ri
a
b
j
a
R","a
ti
h
s
u
K","a
n
b
a
P","e
r
o
t
a
N","hi
a
h
s
j
a
R","j
n
ai a
p g b
h a w a
C
a
N","Sub-
Total",None
1,Rui,63,36,20,33,32,36,31,251,38,14,58,27,41,44,222,473
2,Catla,36,18,18,33,23,19,16,163,22,7,35,15,33,35,147,310
3,Mrigal,38,15,11,30,15,18,8,135,12,4,8,6,16,18,64,199
4,Kalibaus,15,10,8,10,8,7,3,61,6,3,15,6,6,7,43,104
5,Bata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ghania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Pangas,17,12,9,12,10,9,8,77,1,7,34,31,73,43,189,266
8,Boal/Air,39,52,84,36,36,49,12,308,16,10,52,17,51,60,206,514
9,Shol/Gazar/Taki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Koi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Shingi/Magur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Sarpunti,45,36,22,36,12,14,16,181,0,0,0,0,0,0,0,181
13,Cuchia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Other Inland Fish,255,784,561,316,374,941,406,3637,764,134,1518,373,1096,830,4715,8352
15,Hilsa/Ilish,2903,202,711,96,1150,364,526,5952,304,7,79,13,182,19,604,6556
16,Galda,6,7,11,10,9,13,13,69,5,2,3,0,0,10,20,89
17,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Other small shrimp/prawn,22,12,23,77,31,28,22,215,47,10,37,16,45,45,200,415
Total,None,3439,1184,1478,689,1700,1498,1061,11049,1215,198,1839,504,1543,1111,6410,17459
