District name,Feb-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,650,None,None,475,None,None,600,None,None,450,None,None,550,None,None,400,None,None,657,None,None,471,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,429,None,None,313,None,None,313,None,None,300,None,None,0,None,None,0,None,None,544,None,None,380,None,None
Chattogram,681,None,None,450,None,None,576,None,None,430,None,None,525,None,None,350,None,None,727,None,None,475,None,None
Cox’sbazar,769,None,None,400,None,None,704,None,None,365,None,None,713,None,None,0,None,None,821,None,None,475,None,None
Cumilla,579,None,None,357,None,None,494,None,None,350,None,None,414,None,None,317,None,None,665,None,None,417,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,533,None,None,433,None,None,500,None,None,400,None,None,450,None,None,350,None,None,583,None,None,510,None,None
Noakhali,633,None,None,0,None,None,600,None,None,0,None,None,525,None,None,0,None,None,713,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,460,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,590,None,None,390,None,None,541,None,None,383,None,None,529,None,None,354,None,None,633,None,None,447,None,None
Sylhet,464,None,None,350,None,None,414,None,None,0,None,None,375,None,None,0,None,None,505,None,None,400,None,None
Maulavi Bazar,471,None,None,396,None,None,450,None,None,350,None,None,0,None,None,0,None,None,515,None,None,421,None,None
Sunamganj,475,None,None,359,None,None,0,None,None,0,None,None,0,None,None,0,None,None,522,None,None,401,None,None
Habiganj,483,None,None,375,None,None,0,None,None,0,None,None,0,None,None,0,None,None,481,None,None,420,None,None
Sylhet Division,473,None,None,370,None,None,432,None,None,350,None,None,375,None,None,0,None,None,506,None,None,411,None,None
Dhaka,559,None,None,450,None,None,572,None,None,400,None,None,585,None,None,350,None,None,566,None,None,550,None,None
Gazipur,638,None,None,500,None,None,0,None,None,0,None,None,531,None,None,405,None,None,710,None,None,555,None,None
Manikganj,550,None,None,500,None,None,525,None,None,450,None,None,471,None,None,400,None,None,613,None,None,525,None,None
Munshiganj,600,None,None,0,None,None,0,None,None,0,None,None,541,None,None,0,None,None,600,None,None,400,None,None
Narayanganj,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,472,None,None,433,None,None
Narsingdi,0,None,None,0,None,None,560,None,None,447,None,None,552,None,None,0,None,None,574,None,None,0,None,None
Faridpur,559,None,None,0,None,None,0,None,None,0,None,None,500,None,None,0,None,None,599,None,None,0,None,None
Rajbari,538,None,None,0,None,None,483,None,None,0,None,None,0,None,None,0,None,None,580,None,None,0,None,None
Madaripur,450,None,None,400,None,None,0,None,None,0,None,None,500,None,None,0,None,None,514,None,None,414,None,None
Gopalganj,450,None,None,0,None,None,0,None,None,0,None,None,400,None,None,350,None,None,513,None,None,400,None,None
Shariatpur,625,None,None,363,None,None,0,None,None,0,None,None,600,None,None,0,None,None,683,None,None,420,None,None
Tangail,610,None,None,440,None,None,554,None,None,390,None,None,512,None,None,340,None,None,645,None,None,495,None,None
Kishoreganj,473,None,None,0,None,None,531,None,None,0,None,None,575,None,None,0,None,None,572,None,None,0,None,None
Dhaka Division,550,None,None,442,None,None,538,None,None,422,None,None,524,None,None,369,None,None,588,None,None,466,None,None
Mymensing,,555,,,400,,,519,,,442,,,472,,,350,,,595,,,412,
Jamalpur,,510,,,0,,,480,,,0,,,465,,,0,,,575,,,0,
Sherpur,,536,,,350,,,506,,,300,,,500,,,0,,,570,,,400,
Netrokona,,568,,,405,,,549,,,400,,,520,,,360,,,614,,,412,
Mymensing Division,542,None,None,385,None,None,514,None,None,381,None,None,489,None,None,355,None,None,589,None,None,408,None,None
