District name,Nov-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Without Food
(in TK)",None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,667,None,None,467,None,None,617,None,None,425,None,None,567,None,None,375,None,None,671,None,None,486,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,444,None,None,338,None,None,325,None,None,300,None,None,0,None,None,0,None,None,540,None,None,338,None,None
Chattogram,687,None,None,470,None,None,634,None,None,444,None,None,571,None,None,400,None,None,758,None,None,535,None,None
Cox’sbazar,737,None,None,404,None,None,698,None,None,395,None,None,687,None,None,360,None,None,803,None,None,456,None,None
Cumilla,606,None,None,438,None,None,550,None,None,325,None,None,500,None,None,388,None,None,763,None,None,473,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,490,None,None,400,None,None,423,None,None,350,None,None,350,None,None,300,None,None,592,None,None,508,None,None
Noakhali,619,None,None,0,None,None,650,None,None,0,None,None,600,None,None,0,None,None,717,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,510,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,594,None,None,402,None,None,557,None,None,373,None,None,546,None,None,365,None,None,650,None,None,457,None,None
Sylhet,464,None,None,350,None,None,414,None,None,0,None,None,375,None,None,0,None,None,521,None,None,400,None,None
Maulavi Bazar,475,None,None,397,None,None,400,None,None,350,None,None,0,None,None,0,None,None,518,None,None,430,None,None
Sunamganj,490,None,None,350,None,None,0,None,None,0,None,None,0,None,None,0,None,None,524,None,None,395,None,None
Habiganj,513,None,None,375,None,None,0,None,None,0,None,None,0,None,None,0,None,None,550,None,None,393,None,None
Sylhet Division,485,None,None,368,None,None,407,None,None,350,None,None,375,None,None,0,None,None,528,None,None,404,None,None
Dhaka,550,None,None,470,None,None,580,None,None,420,None,None,470,None,None,370,None,None,650,None,None,520,None,None
Gazipur,688,None,None,450,None,None,650,None,None,430,None,None,613,None,None,425,None,None,755,None,None,560,None,None
Manikganj,575,None,None,0,None,None,520,None,None,425,None,None,490,None,None,400,None,None,622,None,None,516,None,None
Munshiganj,0,None,None,0,None,None,0,None,None,0,None,None,530,None,None,0,None,None,582,None,None,500,None,None
Narayanganj,655,None,None,550,None,None,600,None,None,538,None,None,540,None,None,400,None,None,664,None,None,566,None,None
Narsingdi,0,None,None,0,None,None,585,None,None,0,None,None,541,None,None,0,None,None,583,None,None,0,None,None
Faridpur,568,None,None,413,None,None,0,None,None,0,None,None,0,None,None,0,None,None,617,None,None,480,None,None
Rajbari,517,None,None,0,None,None,500,None,None,0,None,None,0,None,None,0,None,None,580,None,None,0,None,None
Madaripur,517,None,None,475,None,None,0,None,None,0,None,None,625,None,None,0,None,None,578,None,None,494,None,None
Gopalganj,700,None,None,0,None,None,0,None,None,0,None,None,500,None,None,300,None,None,555,None,None,425,None,None
Shariatpur,625,None,None,388,None,None,0,None,None,0,None,None,600,None,None,0,None,None,679,None,None,440,None,None
Tangail,760,None,None,590,None,None,577,None,None,540,None,None,538,None,None,400,None,None,667,None,None,570,None,None
Kishoreganj,558,None,None,0,None,None,583,None,None,0,None,None,633,None,None,0,None,None,709,None,None,0,None,None
Dhaka Division,610,None,None,477,None,None,574,None,None,471,None,None,553,None,None,383,None,None,634,None,None,507,None,None
Mymensing,,583,,,482,,,556,,,454,,,530,,,438,,,625,,,520,
Jamalpur,,650,,,-,,,620,,,-,,,580,,,-,,,700,,,-,
Sherpur,,574,,,330,,,520,,,300,,,500,,,-,,,620,,,400,
Netrokona,,585,,,475,,,570,,,425,,,547,,,400,,,620,,,510,
Mymensing Division,598,None,None,429,None,None,567,None,None,393,None,None,539,None,None,419,None,None,641,None,None,477,None,None
