District,2014-15,None,2015-16,None_1,2016-17,None_2,2017-18,None_3
None,Area in acre,"Area in
Sq./mile",Area in acre,"Area in
Sq/mile",Area in acres,Area in Sq/mile,Area in acres,"Area in
Sq/mile"
Bandarban,797541.49,1244.15,797541.49,1444.16,797541.49,1444.16,797541.49,1444.16
Chattogram,426089.18,665.76,426089.18,665.76,426089.18,665.76,426089.18,665.76
Khagrachari,554116.21,865.81,554116.21,865.81,554116.21,865.81,554116.21,865.81
Cox's Bazar,209216.49,326.90,209216.49,326.90,209216.49,326.90,209216.49,326.90
Rangamati,1378564.13,2154.00,1378564.13,2154.00,1378564.13,2154.00,1378564.13,2154.00
Cumilla,1720.92,2.69,1720.92,2.69,1720.92,2.69,1720.92,2.69
Chandpur,-,-,-,-,-,-,-,-
Brahmanbaria,-,-,-,-,-,-,-,-
Noakhali,384784.72,601.22,384784.72,601.22,384784.72,601.22,384784.72,601.22
Lakshmipur,50000.00,78.13,50000.00,78.12,50000.00,78.12,50000.00,78.12
Feni,20191.43,31.55,20191.43,31.55,20191.43,31.55,20191.43,31.55
Sylhet,50428.36,92.79,50428.36,78.79,50428.36,78.79,50428.36,78.79
Maulavibazar,71393.73,111.55,71393.73,115.55,71393.73,115.55,71393.73,115.55
Sunamgonj,18012.31,2.83,18012.31,28.14,18012.31,28.14,18012.31,28.14
Hobigonj,36360.73,56.39,36360.73,56.81,36360.73,56.81,36360.73,56.81
Dhaka,934.74,1.46,934.74,1.46,934.74,1.46,934.74,1.46
Gazipur,65173.21,101.83,65173.21,101.83,65173.21,101.83,65173.21,101.83
Manikgonj,-,-,-,-,-,-,-,-
Munsigonj,-,-,-,-,-,-,-,-
Narayangonj,-,-,-,-,-,-,-,-
Narsingdi,-,-,-,-,-,-,-,-
Jamalpur,10364.39,16.19,10364.39,16.19,10364.39,16.19,10364.39,16.19
Sherpur,20087.10,31.39,20087.10,31.39,20087.10,31.39,20087.10,31.39
Netrokona,1975.59,3.09,1975.59,3.09,1975.59,3.09,1975.59,3.09
Mymenshingh,38860.14,60.72,38860.14,6062,38860.14,6062,38860.14,6062
Tangail,122876.90,192.00,122876.90,191.99,122876.90,191.99,122876.90,191.99
Perojpur,6000.00,11.63,6000.00,9.38,6000.00,9.38,6000.00,9.38
Bhola,360000.00,562.50,360000.00,562.50,360000.00,562.50,360000.00,562.50
Jashore,-,-,-,-,-,-,-,-
Jhenaidah,-,-,-,-,-,-,-,-
Magura,,-,-,-,-,-,-,-
Khulna,3564081.61,5568.88,3564081.61,853.25,3564081.61,853.25,3564081.61,853.25
Bagerhat,566512.95,885.18,566512.95,885.18,566512.95,885.18,566512.95,885.18
Satkhira,370357.18,578.68,370357.18,578.68,370357.18,578.68,370357.18,578.68
Kushtia,-,-,-,-,-,-,-,-
Patuakhali,150000.00,234.38,150000.00,234.38,150000.00,234.38,150000.00,234.38
Barguna,75000.00,117.19,75000.00,117.19,75000.00,117.19,75000.00,117.19
Bogura,-,,-,-,-,-,-,-
Dinajpur,18065.14,28.23,18065.14,28.23,18065.14,28.23,18065.14,28.23
Thakurgaon,1591.68,2.49,1591.68,2.49,1591.68,2.49,1591.68,2.49
Panchagarh,4550.87,7.11,4550.87,7.11,4550.87,7.11,4550.87,7.11
Rajshahi,-,-,-,-,-,-,-,-
Noagaon,7147.64,11.17,7147.64,11.18,7147.64,11.18,7147.64,11.18
Natore,-,-,-,-,-,-,-,-
Rangpur,3449.04,5.39,3449.04,5.39,3449.04,5.39,3449.04,5.39
Kurigram,128.59,0.20,128.59,0.20,128.59,0.20,128.59,0.20
Nilphamari,1200.08,1.88,1200.08,1.87,1200.08,1.87,1200.08,1.87
Lalmonirhat,82.62,0.13,82.62,0.13,82.62,0.13,82.62,0.13
BANGLADESH,6368859.17,9951.34,6368859.17,9951.34,6368859.17,9951.34,6368859.17,9951.34
