District name,Sep-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,667,None,None,467,None,None,617,None,None,425,None,None,600,None,None,375,None,None,657,None,None,471,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,444,None,None,316,None,None,321,None,None,300,None,None,0,None,None,0,None,None,515,None,None,358,None,None
Chattogram,708,None,None,494,None,None,626,None,None,425,None,None,588,None,None,428,None,None,745,None,None,521,None,None
Cox’sbazar,787,None,None,480,None,None,770,None,None,425,None,None,716,None,None,400,None,None,856,None,None,500,None,None
Cumilla,628,None,None,438,None,None,556,None,None,400,None,None,500,None,None,325,None,None,738,None,None,488,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,470,None,None,400,None,None,450,None,None,350,None,None,405,None,None,300,None,None,604,None,None,513,None,None
Noakhali,619,None,None,0,None,None,650,None,None,0,None,None,600,None,None,0,None,None,717,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,490,None,None,0,None,None
Feni,655,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,710,None,None,0,None,None
Chattogram Division,603,None,None,414,None,None,570,None,None,388,None,None,568,None,None,366,None,None,648,None,None,465,None,None
Sylhet,471,None,None,350,None,None,414,None,None,0,None,None,375,None,None,0,None,None,516,None,None,400,None,None
Maulavi Bazar,482,None,None,420,None,None,394,None,None,415,None,None,0,None,None,0,None,None,516,None,None,453,None,None
Sunamganj,480,None,None,343,None,None,0,None,None,0,None,None,0,None,None,0,None,None,522,None,None,386,None,None
Habiganj,513,None,None,400,None,None,0,None,None,0,None,None,0,None,None,0,None,None,533,None,None,464,None,None
Sylhet Division,486,None,None,378,None,None,404,None,None,415,None,None,375,None,None,0,None,None,522,None,None,426,None,None
Dhaka,640,None,None,470,None,None,620,None,None,420,None,None,560,None,None,370,None,None,680,None,None,520,None,None
Gazipur,688,None,None,475,None,None,650,None,None,452,None,None,613,None,None,450,None,None,755,None,None,560,None,None
Manikganj,600,None,None,0,None,None,578,None,None,450,None,None,521,None,None,400,None,None,645,None,None,550,None,None
Munshiganj,0,None,None,0,None,None,0,None,None,0,None,None,515,None,None,0,None,None,566,None,None,450,None,None
Narayanganj,655,None,None,550,None,None,613,None,None,530,None,None,550,None,None,505,None,None,669,None,None,577,None,None
Narsingdi,0,None,None,0,None,None,585,None,None,0,None,None,541,None,None,0,None,None,583,None,None,0,None,None
Faridpur,580,None,None,480,None,None,0,None,None,0,None,None,0,None,None,0,None,None,628,None,None,348,None,None
Rajbari,617,None,None,0,None,None,567,None,None,0,None,None,0,None,None,0,None,None,650,None,None,0,None,None
Madaripur,515,None,None,475,None,None,0,None,None,0,None,None,500,None,None,0,None,None,617,None,None,515,None,None
Gopalganj,650,None,None,0,None,None,0,None,None,0,None,None,525,None,None,450,None,None,580,None,None,450,None,None
Shariatpur,625,None,None,388,None,None,0,None,None,0,None,None,600,None,None,0,None,None,679,None,None,440,None,None
Tangail,580,None,None,400,None,None,538,None,None,360,None,None,508,None,None,310,None,None,626,None,None,416,None,None
Kishoreganj,550,None,None,0,None,None,551,None,None,0,None,None,626,None,None,0,None,None,613,None,None,0,None,None
Dhaka Division,609,None,None,463,None,None,588,None,None,442,None,None,551,None,None,414,None,None,638,None,None,483,None,None
Mymensing,579,None,None,484,None,None,542,None,None,450,None,None,532,None,None,382,None,None,615,None,None,512,None,None
Jamalpur,560,None,None,-,None,None,540,None,None,-,None,None,525,None,None,-,None,None,630,None,None,-,None,None
Sherpur,,566,,,350,,,518,,,300,,,500,,,-,,,620,,,400,
Netrokona,551,551,None,0,0,None,535,535,None,427,427,None,500,500,None,400,400,None,604,604,None,510,510,None
Mymensing Division,564,None,None,417,None,None,534,None,None,392,None,None,514,None,None,391,None,None,617,None,None,474,None,None
