Division and District,All holding,Non-Fam holdings,Number of fam holdings,None,None_1,None_2,Number of holdings,None_3,None_4,Agriculture labour holding,Fisheries holding
None,None,None,Total,Small,Medium,Larg,Owner,"Owner-
cum-tenant",Tenant,None,None
75-Noakhali,655040,293071,361969,340609,19852,1508,550362,80743,9472,149737,33459
84-Rangamati,130270,33730,96540,56728,33932,5880,107799,12756,5662,40104,10550
Dhaka Division,None,None,None,None,None,None,None,None,None,None,None
Total,6559550,6500629,3058921,2867727,180633,10561,6685943,946637,255078,1189078,194632
Rural,6185188,3482974,2702214,2529182,163842,9190,4599220,895201,210629,1126081,181333
Urban,3374362,3017655,356707,338545,16791,1371,2086723,51436,4449,62997,13299
26-Dhaka,3340396,2978114,362282,350478,10463,1341,2063560,69467,60980,94932,15682
29-Faridpur,467945,226917,241028,218856,21188,984,337238,99267,8963,148323,12582
33-Gazipur,1069287,725965,343322,334892,7668,762,796255,54911,33270,65907,11699
35-Gopalganj,272123,103234,168889,151206,17050,633,196148,58548,6902,96181,16311
45-Kishoreganj,670819,345168,325651,291740,31058,2853,506688,119932,18978,170014,45006
54-Madaripur,276062,130360,145702,135683,9659,360,217141,44895,7342,61914,6000
56-Manikganj,352493,165481,187012,175148,11274,590,254978,76235,12325,66295,8058
59-Munshiganj,342245,247533,94712,81604,12386,722,265323,39623,13611,44647,12399
67-Narayanganj,761585,626887,134698,133026,1503,169,534879,37847,12234,38412,15218
68-Narsingdi,527035,290471,236564,227761,8468,335,423920,70908,4350,45550,10431
82-Rajbari,260420,109827,150593,142290,7821,482,183269,59383,11886,90996,7131
86-Shariatpur,268725,111954,156771,148072,8372,327,196888,48675,20122,77197,16440
93-Tangail,950415,438718,511697,476971,33723,1003,709656,166946,44115,188710,17675
Khulna Division,None,None,None,None,None,None,None,None,None,None,None
Total,4077987,1802965,2275022,2096745,166275,12002,2856633,821638,164138,1466553,151690
Rural,3672633,1479419,2193214,2028288,153417,11509,2603402,803989,147285,1450758,143477
Urban,405354,323546,81808,68457,12858,493,253231,17649,16853,15795,8213
01-Bagerhat,372890,134363,238527,214887,21406,2234,281485,59876,16333,110242,25763
18-Chuadanga,304985,115296,189689,178742,10518,429,204643,87297,11272,125618,5159
41-Jashore,722516,325213,397303,370826,25470,1007,518947,133147,13680,273418,14452
None,None,None,Total,Small,Medium,Larg,Owner,"Owner-
cum-tenant",Tenant,None,None
1,2,3,4,5,6,7,8,9,10,11,12
44-Jhenaidah,471422,170000,301422,279051,21473,898,329316,115643,8036,200806,9108
47-Khulna,592329,340998,251331,228346,20399,2586,384109,64453,35346,153439,42603
50-Kushtia,509234,254840,254394,237855,16058,481,353228,114363,32837,159735,7166
55-Magura,230432,80153,150279,137922,11925,432,150074,69622,6596,67686,5147
57-Meherpur,185578,68922,116656,107125,9105,426,127270,52455,3066,90958,3500
65-Narail,174235,59335,114900,104114,10424,362,113286,52477,5759,57904,6409
87-Satkhira,514366,253845,260521,237877,19497,3147,394275,72305,31213,226747,32383
Mymenshing Division,None,None,None,None,None,None,None,None,None,None,None
Total,2750803,1183867,1566936,1445296,114647,6993,2091465,473774,59869,807916,88500
Rural,2579339,1050559,1528780,1417863,104237,6680,1961980,466368,56903,799825,85589
Urban,171464,133308,38156,27433,10410,313,129485,7406,2966,8091,2911
39-Jamalpur,617394,273558,343836,320637,22271,928,452670,124558,20031,181399,15166
61- Mymenshing,1247312,557921,689391,645968,41567,1856,971262,183094,21172,307583,29435
72-Nertokona,508010,191612,316398,280679,32454,3265,384598,95123,9382,189460,32215
89-Sherpur,378087,160776,217311,198012,18355,944,282935,70999,9284,129474,11684
Rajshahi Division,None,None,None,None,None,None,None,None,None,None,None
Total,4823444,2281566,2541878,2292883,232925,16070,3447100,1003330,202789,1753974,122297
Rural,4435381,1968625,2466756,2235528,215684,15544,3148906,982298,183753,1741238,116649
Urban,388063,312941,75122,57355,17241,526,298194,21032,19036,12736,5648
10-Bogura,915096,426849,488247,456984,29611,1652,651815,194231,20964,245625,14725
38-Joypurhat,244086,94706,149380,134280,14428,672,164780,64264,5445,82726,3762
64-Naogaon,699272,272416,426856,367518,54277,5061,494563,176102,10371,317566,20974
69-Natore,451011,196515,254496,225265,26848,2383,324700,99388,15886,208768,13242
"70-
Chapainababganj",404564,224779,179785,154634,23350,1801,309702,54300,33965,154835,6355
None,None,None,Total,Small,Medium,Larg,Owner,"Owner-
cum-
tenant",Tenant,None,None
1,2,3,4,5,6,7,8,9,10,11,12
,None,None,None,None,None,None,None,None,None,None,None
76-Pabna,643112,328282,314830,286993,26255,1582,450000,132639,34006,201193,20611
81-Rajshahi,690888,336588,354300,3251111,27760,1429,493270,129304,31383,279865,15814
"88-Sirajganj
hi",775415,401431,373984,342098,30396,1490,558270,153102,50769,263396,26814
Rangpur division,None,None,None,None,None,None,None,None,None,None,None
Total,4143833,1776848,2366985,2133292,218339,15354,2832534,956880,247781,1743886,85056
Rural,3842507,1566916,2275591,2055997,205021,14573,2623548,917605,219370,1706235,79870
Urban,301326,209932,91394,77295,13318,781,208986,39275,28411,37651,5186
27- Dinajpur,769852,332718,437134,367836,63770,5528,520227,184633,44026,329624,13627
32-Gaibandha,648293,286039,362254,341487,19709,1058,469023,132213,32275,270251,15741
49-Kurigram,568747,254427,314320,288866,24510,944,412576,107145,37171,288234,15209
52-Lalmonirhat,307044,108268,198776,181871,16091,814,215728,62034,23489,136848,7030
73-Nilphamari,466291,210998,255293,233588,20562,1143,334559,88033,32850,201269,7652
77-Panchagarm,254136,78333,175803,155440,18821,1542,169648,72807,7458,91819,5031
85-Rangpur,773871,377675,396196,372428,22268,1500,473873,221302,48965,282179,14428
94-Thakurgaon,355599,128390,227209,191776,32608,2825,236900,88713,21547,143662,6338
Sylhet Division,None,None,None,None,None,None,None,None,None,None,None
Total,1954299,937759,1016540,892574,111722,12244,1371669,328389,149434,553629,120149
Rural,1823370,833331,990039,869043,109125,11871,1295635,321102,148709,551086,118997
Urban,130929,104428,26501,23531,2597,373,76034,7287,725,2543,1152
36-Habiganj,437133,204400,232733,202261,27475,2997,305569,81329,38187,153355,31272
58-Moulvibazar,390722,186322,204400,184906,18039,1455,248987,52379,72233,87093,12827
90-Sunamganj,488105,214736,273369,229829,38470,5070,357084,93059,20838,191778,48493
91-Sylhet,638339,332301,306038,275578,37738,2722,460029,101622,18176,121403,27557
