Year,Insecticide,None,None_1,None_2,miticide,Fungicide,None_3,Herbicide,Rodenticide,Total
None,Granular,None,Liquid,Powder,None,General,Sulphur,None,None,None
Year 2016,None,None,None,None,None,None,None,None,None,None
January-March,"4,863.59","1,588.19",None,395.26,38.87,"1,896.36","5,253.75","1,944.64",34.90,"16,016.28"
April-June,"1,215.90",397.22,None,98.81,9.90,474.10,"1,315.00",486.16,8.93,"4,006.02"
July-September,"1,519.87",496.53,None,123.52,12.50,592.61,"1,642.70",607.70,11.22,"5,006.65"
October-December,"2,533.12",827.55,None,205.86,22.01,987.68,"2,733.86","1,012.83",19.74,"8,342.65"
Total,"10,132.48","3,310.21",None,823.45,83.28,"3,950.75","10,945,31","4,015.33",74.79,"33,371.60"
Year 2017,None,None,None,None,None,None,None,None,None,None
January-March,2980.68,1176.97,None,308.80,30.70,1440.10,3170.65,1514.80,21.70,10644.40
April-June,1823.64,7086.60,None,206.40,20.50,960.40,2113.10,1010.80,14.50,6934.94
July-September,1807.80,7069.70,None,207.58,21.40,962.30,2106.45,1008.50,13.85,6897.58
October-December,2983.48,1190.97,None,304.50,29.93,1437.55,3175.25,1515.28,22.40,10659.36
Total,9595.60,3923.24,None,1027.28,102.53,4800.35,10565.45,5049.38,72.45,35136.28
Year 2018,None,None,None,None,None,None,None,None,None,None
January-March,2973.58,1724.71,None,495.11,39.27,2169.88,3768.91,2448.81,26.88,13647.15
April-June,1699.19,985.55,None,282.92,22.44,1239.93,2153.66,1399.32,15.36,7798.37
July-September,1274.39,739.16,None,212.19,16.83,929.95,1615.25,1049.49,11.52,5848.78
October-December,2548.78,1478.33,None,424.38,33.66,1859.90,3230.49,2098.98,23.04,11397.56
Total,8494.94,4927.75,None,1414.6,112.2,6199.66,10768.31,6996.6,76.8,38691.86
