District name,Jul-2024,None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22
None,With Food,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Without Food (in TK),None,None,None,None,None
None,One meal,None,None,None,None,None,Two meal,None,None,None,None,None,Three meal,None,None,None,None,None,None,None,None,None,None,None
None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None,Male,None,None,Female,None,None
Banderban,667,None,None,467,None,None,617,None,None,425,None,None,600,None,None,375,None,None,657,None,None,471,None,None
Khagrachari,450,None,None,300,None,None,0,None,None,0,None,None,0,None,None,0,None,None,494,None,None,404,None,None
Rangamati,438,None,None,313,None,None,413,None,None,300,None,None,0,None,None,0,None,None,513,None,None,357,None,None
Chattogram,667,None,None,450,None,None,618,None,None,390,None,None,600,None,None,375,None,None,732,None,None,492,None,None
Cox’sbazar,714,None,None,425,None,None,655,None,None,375,None,None,520,None,None,317,None,None,752,None,None,475,None,None
Cumilla,628,None,None,425,None,None,556,None,None,375,None,None,500,None,None,363,None,None,734,None,None,482,None,None
Chandpur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,600,None,None,0,None,None
Brahmmanbaria,517,None,None,425,None,None,450,None,None,0,None,None,0,None,None,0,None,None,611,None,None,488,None,None
Noakhali,619,None,None,0,None,None,650,None,None,0,None,None,600,None,None,0,None,None,717,None,None,0,None,None
Lakshmipur,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,490,None,None,0,None,None
Feni,650,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,700,None,None,0,None,None
Chattogram Division,594,None,None,401,None,None,566,None,None,373,None,None,564,None,None,357,None,None,636,None,None,453,None,None
Sylhet,471,None,None,350,None,None,416,None,None,0,None,None,375,None,None,0,None,None,516,None,None,400,None,None
Maulavi Bazar,525,None,None,416,None,None,400,None,None,376,None,None,0,None,None,0,None,None,540,None,None,439,None,None
Sunamganj,480,None,None,351,None,None,0,None,None,0,None,None,0,None,None,0,None,None,524,None,None,388,None,None
Habiganj,525,None,None,450,None,None,0,None,None,0,None,None,0,None,None,0,None,None,525,None,None,414,None,None
Sylhet Division,500,None,None,392,None,None,408,None,None,376,None,None,375,None,None,0,None,None,526,None,None,410,None,None
Dhaka,655,None,None,500,None,None,635,None,None,450,None,None,590,None,None,400,None,None,690,None,None,550,None,None
Gazipur,638,None,None,500,None,None,0,None,None,0,None,None,550,None,None,463,None,None,715,None,None,560,None,None
Manikganj,550,None,None,425,None,None,500,None,None,400,None,None,470,None,None,380,None,None,627,None,None,500,None,None
Munshiganj,500,None,None,0,None,None,0,None,None,0,None,None,523,None,None,0,None,None,592,None,None,550,None,None
Narayanganj,650,None,None,560,None,None,613,None,None,533,None,None,550,None,None,505,None,None,675,None,None,577,None,None
Narsingdi,0,None,None,0,None,None,572,None,None,0,None,None,581,None,None,0,None,None,591,None,None,0,None,None
Faridpur,605,None,None,470,None,None,0,None,None,0,None,None,0,None,None,0,None,None,650,None,None,500,None,None
Rajbari,550,None,None,0,None,None,533,None,None,0,None,None,0,None,None,0,None,None,630,None,None,0,None,None
Madaripur,517,None,None,419,None,None,0,None,None,450,None,None,400,None,None,0,None,None,605,None,None,444,None,None
Gopalganj,650,None,None,0,None,None,0,None,None,0,None,None,475,None,None,350,None,None,575,None,None,400,None,None
Shariatpur,625,None,None,375,None,None,0,None,None,0,None,None,600,None,None,0,None,None,679,None,None,430,None,None
Tangail,570,None,None,420,None,None,543,None,None,370,None,None,500,None,None,340,None,None,622,None,None,485,None,None
Kishoreganj,0,None,None,0,None,None,550,None,None,0,None,None,626,None,None,0,None,None,619,None,None,0,None,None
Dhaka Division,592,None,None,459,None,None,564,None,None,441,None,None,533,None,None,406,None,None,636,None,None,500,None,None
Mymensing,,593,,,500,,,574,,,472,,,512,,,440,,,657,,,545,
Jamalpur,,590,,,-,,,530,,,-,,,505,,,-,,,645,,,-,
Sherpur,,624,,,400,,,584,,,400,,,580,,,-,,,670,,,450,
Netrokona,,554,,,475,,,531,,,425,,,475,,,400,,,607,,,497,
Mymensing Division,590,None,None,458,None,None,555,None,None,432,None,None,518,None,None,420,None,None,645,None,None,497,None,None
