Sl. no,District Name,UpaZila Name,Reserve Forest,None,Protected Forest,Acqired Forest,Vested Forest,Un- classed Forest,TotalForest Area Control by F.D,Unclassed StateForest R.D,Khas F.Area,TotalForest Area (Acres) (F.D+R.D)
None,None,None,20th Amendments,4&6 Amendments,None,None,None,None,None,None,None,None
1,2,3,4,5,6,7,8,9,10,11,12,13
1,Dhaka,Savar,-,934.74,-,-,-,-,934.74,-,-,934.74
,Toatal,1,-,934.74,-,-,-,-,934.74,-,-,934.74
2,Narayangonj,Sonargaon,-,-,-,-,-,-,-,-,-,-
,,Fatulla,-,-,-,-,-,-,-,-,-,-
,Total,2,-,-,-,-,-,-,-,-,-,-
3,Munshigonj,Munshigonj,-,-,-,-,-,-,-,-,-,-
,Total,1,-,-,-,-,-,-,-,-,-,-
4,Manikgonj,Manikgonj,-,-,-,-,-,-,-,-,-,-
,Toatal,1,-,-,-,-,-,-,-,-,-,-
5,Narshingdi,Narshingdi,-,-,-,-,-,-,-,-,-,-
,,Shibpur,-,-,-,-,-,-,-,-,-,-
,Total,2,-,-,-,-,-,-,-,-,-,-
6,Gazipur,Gazipur,-,14963.67,-,-,-,-,14963.67,-,-,14963.67
,,Kaliakair,677.08,18839.97,-,-,-,-,19517.05,-,-,19517.05
,,Shreepur,-,27583..46,-,-,-,-,27583.46,-,-,27583.46
,,Kapasia,-,2487.20,-,-,-,-,2487.20,-,-,2487.20
,,Kaligonj,-,69.04,-,-,-,-,69.04,-,-,69.04
,Total,5,677.08,63943.34,-,-,-,-,64620.42,-,-,64620.64
7,Tangail,Sakhipur,38232.28,8988.32,-,-,-,-,47220.60,-,-,47220.60
,,Mirzapur,7275.93,300.43,-,-,-,-,7576.36,-,-,7576.36
,,Kalihati,191.02,468.27,-,-,-,-,659.29,-,-,659.29
,,Ghatail,7251.01,14604.46,-,-,-,-,21855.47,-,-,21855.47
,,Madhupur,2526.14,43039.04,-,-,-,-,45565.18,-,-,45565.18
,Total,5,55476.38,67400.52,-,-,-,-,122876.9,-,-,122876.90
8,Mymensingh,Bhaluka,603.49,22317.59,-,-,-,-,22921.08,-,-,22921.08
,,Trisal,102.17,-,-,-,-,-,102.17,-,-,102.17
,,Fulbaria,6436.09,86.33,-,-,-,-,6522.42,-,-,6522.42
,,Muktagacha,966.82,6678.24,-,-,-,-,7645.06,-,-,7645.06
,,Haluaghat,248.24,1006.97,-,-,-,-,1255.21,-,-,1255.21
,,Dhubaura,-,255.32,-,-,-,-,255.32,-,-,255.32
,Total,6,8356.81,30344.45,-,-,-,-,38701.26,-,-,38701.26
9,Netrokona,Durgapur,-,1398.54,-,-,-,-,1398.54,-,-,1398.54
,,Kalmakandha,-,426.14,-,-,-,-,426.14,-,-,426.14
,Total,2,-,1824.68,-,-,-,-,1824.68,-,-,1824.68
10,Jamalpur,Jamalpur sadar,-,3269.47,-,-,-,-,3269.47,-,-,3269.47
,,Bakshigonj,-,7094.92,-,-,-,-,7094.92,-,-,7094.92
,Total,2,-,10364.39,-,-,-,-,10364.39,-,-,10364.39
11,Sherpur,Jhinaighati,-,9464.63,-,-,-,-,9464.63,-,-,9464.63
,,Nalitabari,-,3786,-,-,-,-,3786,-,-,3786
,,Shreebardi,-,6218.06,-,-,-,-,6218.06,-,-,6218.06
,Total,3,-,19468.69,-,-,-,-,19468.69,-,-,19468.69
12,Cumilla,Cimilla sadar,-,1596.86,-,-,-,-,1596.86,-,-,1596.86
,,Choddagram,-,81.78,-,-,-,-,81.78,-,-,81.78
,,Chandina,-,-,-,-,-,-,-,-,-,-
,,Muradnagar,-,-,-,-,-,-,-,-,-,-
,Total,4,-,1678.64,-,-,-,-,1678.64,-,-,1678.64
13,Sylhet,Sylhet sadar,1443,-,-,-,-,-,1443,-,-,1443
,,Goinghat,14167.29,12211.02,-,-,-,-,26378.31,-,-,26378.31
,,Companigonj,5833.95,18932.02,-,-,-,-,24765.97,-,-,24765.97
,,Kanaighat,-,1706.76,-,-,-,-,1706.76,517.75,-,2224.51
,,Jaintapur,-,4101.70,-,-,-,-,4101.70,471.13,-,4572.83
,Total,5,21444.24,36951.50,-,-,-,-,58395.74,988.88,-,59384.62
