Sl. N o.,Species,a k a h D,r u p d ri a F,r u p zi a G,nj a g al p o G,r u p al m a J,nj a g e r o h s Ki,r u p ri a d a M,nj a g k ni a M,nj a g hi s n u M,h g n si n e m y M,nj a g n a y a r a N,di g n si r a N,a n o k o r et N,i r a b aj R,r u p at ri a h S,r u p r e h S,ail g n a T,al ot -t b u S
1,Rui,43,22,14,44,19,58,10,15,11,35,0,11,30,25,18,81,10,446
2,Catla,37,15,15,22,10,25,5,11,5,15,0,6,10,9,13,78,7,283
3,Mrigal,20,10,10,25,10,12,0,6,4,10,0,4,11,5,9,47,5,188
4,Kalibaus,15,10,9,12,8,0,0,4,3,91,0,0,20,9,8,35,4,228
5,Bata,0,0,9,0,1,0,0,4,0,0,0,0,0,0,0,0,0,14
6,Gonia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Pangas,0,6,0,6,3,0,0,0,22,0,0,0,0,11,0,0,4,52
8,Boal/Air,33,23,5,17,4,51,9,9,82,92,0,0,21,33,13,78,9,479
9,Shol/Gazar/Taki,28,0,10,40,5,9,0,5,0,11,0,0,9,5,6,60,0,188
10,Koi,5,0,0,22,4,0,0,4,0,0,0,0,0,0,0,17,0,52
11,Shingi/Magur,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,16,0,22
12,Sarpunti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Other Inland Fish,127,412,308,278,128,1225,183,250,221,970,444,416,1312,323,286,233,186,7302
14,Hilsa/Ilish,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7
15,Galda,10,10,0,10,1,0,0,5,14,6,0,13,0,14,5,41,5,134
16,Bagda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Harina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Chaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Other small
shrimp/prawn",129,48,122,122,9,3,28,33,31,38,23,61,24,208,26,273,22,1200
Total,None,447,556,502,605,204,1383,235,351,393,1268,467,511,1437,642,384,959,252,10596
