District,Principal River,None,None_1,None_2,None_3,None_4,Principal River Total (A),Other River Total (B),Grand Total (A+B)
None,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
putra",None,None,None
Dhaka,0,0,681,0,0,0,681,516,1197
Faridpur,0,0,1982,0,0,0,1982,651,2633
Gazipur,0,0,0,0,0,0,0,526,526
Gopalganj,0,0,0,0,0,0,0,761,761
Kishoreganj,0,1151,0,0,0,0,1151,1490,2641
Madaripur,0,0,1302,0,0,0,1302,322,1624
Manikganj,0,0,1990,0,686,0,2676,420,3096
Munshiganj,0,1489,1656,0,0,0,3145,477,3622
Narayanganj,0,1373,0,0,0,0,1373,454,1827
Narsingdi,0,2350,0,0,0,0,2350,566,2916
Rajbari,0,0,1203,1211,0,0,2414,685,3099
Shariatpur,2301,0,3342,0,0,0,5643,560,6203
Tangail,0,0,0,0,1144,0,1144,461,1605
Dhaka Division,2301,6363,12156,1211,1830,0,23861,7889,31750
Jamalpur,0,0,0,0,526,2521,3047,280,3327
Mymensingh,0,0,0,0,0,0,0,1363,1363
Netrakona,0,0,0,0,0,0,0,1547,1547
Sherpur,0,0,0,0,0,0,0,1016,1016
Mymensingh Division,0,0,0,0,526,2521,3047,4206,7253
Bagerhat,0,0,0,0,0,0,0,5616,5616
Chuadanga,0,0,0,0,0,0,0,390,390
Jashore,0,0,0,0,0,0,0,1029,1029
Jhenaidah,0,0,0,0,0,0,0,390,390
Khulna,0,0,0,0,0,0,0,4095,4095
Kushtia,0,0,0,246,0,0,246,1134,1380
Magura,0,0,0,0,0,0,0,1229,1229
Meherpur,0,0,0,0,0,0,0,321,321
Narail,0,0,0,0,0,0,0,1010,1010
Satkhira,0,0,0,0,0,0,0,1521,1521
Khulna Division,0,0,0,246,0,0,246,16735,16981
Barguna,0,0,0,0,0,0,0,7069,7069
Barishal,45177,0,0,0,0,0,45177,5610,50787
Bhola,101794,0,0,0,0,0,101794,5479,107273
Jhalokati,0,0,0,0,0,0,0,2495,2495
Patuakhali,0,0,0,0,0,0,0,34491,34491
Pirojpur,0,0,0,0,0,0,0,4010,4010
Barishal Division,146971,0,0,0,0,0,146971,59154,206125
None,"Lower
Meghna","Upper
Meghna","Lower
Padma","Upper
Padma",Jamuna,"Brahma
Putra",None,None,None
Dinajpur,0,0,0,0,0,0,0,331,331
Gaibandha,0,0,0,0,336,1529,1865,555,2420
Kurigram,0,0,0,0,0,3851,3851,620,4471
Lalmonirhat,0,0,0,0,0,0,0,235,235
Nilphamari,0,0,0,0,0,0,0,227,227
Panchagarh,0,0,0,0,0,0,0,137,137
Rangpur,0,0,0,0,0,0,0,184,184
Thakurgaon,0,0,0,0,0,0,0,132,132
Rangpur Division,0,0,0,0,336,5380,5716,2421,8137
Bogura,0,0,0,0,204,0,204,811,1015
Chapai Nawabganj,0,0,0,1246,0,0,1246,840,2086
Joypurhat,0,0,0,0,0,0,0,204,204
Naogaon,0,0,0,0,0,0,0,1396,1396
Natore,0,0,0,531,0,0,531,413,944
Pabna,0,0,0,2249,1046,0,3295,1417,4712
Rajshahi,0,0,0,1851,0,0,1851,1785,3636
Sirajganj,0,0,0,0,2926,0,2926,1913,4839
Rajshahi Division,0,0,0,5877,4176,0,10053,8779,18832
Bandarban,0,0,0,0,0,0,0,164,164
Brahmanbaria,0,1544,0,0,0,0,1544,754,2298
Chandpur,35877,0,0,0,0,0,35877,1688,37565
Chattogram,0,0,0,0,0,0,0,7604,7604
Cumilla,0,495,0,0,0,0,495,672,1167
Cox’s Bazar,0,0,0,0,0,0,0,4860,4860
Feni,0,0,0,0,0,0,0,1481,1481
Khagrachhari,0,0,0,0,0,0,0,184,184
Lakshmipur,25225,0,0,0,0,0,25225,370,25595
Noakhali,15028,0,0,0,0,0,15028,125,15153
Rangamati,0,0,0,0,0,0,0,253,253
Chattogram Division,76130,2039,0,0,0,0,78169,18155,96324
Habiganj,0,181,0,0,0,0,181,930,1111
Moulvibazar,0,0,0,0,0,0,0,550,550
Sunamganj,0,0,0,0,0,0,0,1012,1012
Sylhet,0,0,0,0,0,0,0,960,960
Sylhet Division,0,181,0,0,0,0,181,3452,3633
TOTAL,225402,8583,12156,7334,6868,7901,268244,120791,389035
%,57.94,2.21,3.12,1.89,1.77,2.03,68.95,31.05,100
