District name,Jun-2023,None,None_1,None_2,None_3,None_4,None_5,None_6
None,With Food,None,None,None,None,None,"Without Food (in
TK)",None
None,One meal,None,Two meal,None,Three meal,None,None,None
None,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,0,0,0,0,0,0,557,400
Khagrachari,450,300,0,0,0,0,475,391
Rangamati,442,321,313,229,0,0,499,344
Chattogram,666,452,568,376,491,399,650,447
Cox’sbazar,735,420,664,382,650,350,770,468
Cumilla,504,324,412,296,389,317,400,307
Chandpur,0,0,0,0,0,0,600,0
Brahmmanbaria,497,425,475,0,456,400,603,488
Noakhali,599,0,650,0,525,0,705,0
Lakshmipur,0,0,0,0,0,,458,0
Feni,588,0,0,0,0,0,692,0
"Chattogram
Division",560,374,514,321,502,367,583,406
Sylhet,467,350,445,0,375,0,497,300
Maulavi Bazar,454,358,400,350,0,0,507.1,400
Sunamganj,490,317,0,0,0,0,533,350
Habiganj,450,350,0,0,0,0,455.6,272
Sylhet Division,465,344,423,350,375,0,498,330
Dhaka,620,460,530,440,525,427,611,543
Gazipur,625,475,550,500,531,419,675,495
Manikganj,600,550,581,488,490,400,645,561
Munshiganj,550,0,0,0,488,0,535,300
Narayanganj,665,560,625,555,575,520,702,607
Narsingdi,0,0,707,350,632,281,702,0
Faridpur,549,0,0,0,500,0,586,350
Rajbari,509,300,500,0,0,0,578,367
Madaripur,483,425,500,0,625,0,638,525
Gopalganj,481,0,500,500,458,600,557,480
Shariatpur,510,440,467,425,400,0,558,475
Tangail,680,460,605,410,580,360,675,505
Kishoreganj,0,0,473,0,504,0,542,0
"Dhaka
Division",570,459,549,459,526,430,616,473
Mymensing,536,457,567,490,600,517,632,543
Jamalpur,515,-,560,-,580,-,625,-
Sherpur,546,-,578,-,593,-,632,-
Netrokona,481,400,505,435,-,-,543,460
"Mymensing
Division",520,429,553,463,591,517,608,502
