Crop,Area_2019-20,Area_2020-21,Area_2021-22,Area_2022-23,Area_2023-24,Production_2019-20,Production_2020-21,Production_2021-22,Production_2022-23,Production_2023-24
CEREALS,,,,,,,
Aus,37,44,39,36,35,99,118,108,104,107
Aman,97,98,100,100,128,179,182,188,195,249
Boro,302,304,306,308,310,503,509,516,531,539
Wheat,49,49,47,47,46,70,74,74,80,80
Barley/Jab,5,7,7,7,1,0.89,1,1,1,1
Jower(Rabi),4,3,4,7,1,6,5,6,-,0.02
Maize,12505,12720,12678,13167,13647,122792,125885,130332,139526,149111
Cheena & Kaon,2,3,3,2,2,2,4,3,3,3
Binnidana,0,0,0,0,0,0,0,0,0,0
Pulses,,,,,,,
Gram,4,4,4,7,4,6,6,6,6,6
Arhar,6,6,6,9,5,8,9,8,8,7
Masur,61,63,62,107,53,108,113,116,120,113
Motor,37,33,32,50,30,59,54,54,52,53
Mung,77,74,77,97,82,106,118,119,130,128
Mashkalai,49,54,55,78,53,63,69,72,75,72
Khesari,45,47,48,64,45,65,72,72,71,71
Gari Kalai,8,6,6,17,5,12,9,8,8,7
Oil seeds,,,,,,,
Til,39,41,39,39,36,69,70,67,66,65
Rape & Mustard,80,86,86,80,120,126,139,144,192,223
Ground nut,116,124,143,116,139,192,210,235,237,238
Linseed,7,8,8,7,7,8,10,10,10,9
Castor,0,0,0,0,0,0,0,0,0,0
Coconut,118,97,118,118,86,496,485,496,486,482
Soyabean,0,0,0,0,0,0,0,0,0,0
Spices & Condiments,,,,,,,
Chillies,134,139,136,334,137,1101,1396,1480,1672
Onion,543,570,603,1281,610,1389,1613,1789,1810,2073
Garlic,1357,1344,1332,1169,556,1217,1257,1321,1376,1323
Turmeric,220,175,95,502,177,974,741,790,817,831
Ginger,165,165,167,202,167,214,206,207,211,210
Coriander,325,448,457,792,446,911,884,914,917,965
Sugar Crops,,,,,,,
Sugarcane,53,48,44,43,42,54,48,45,43,43
Fibers,,,,,,,
Jute,100,100,107,108,107,157,151,165,165,187
Cotton,101,129,105,95,94,344,358,249,233,236
Sunhemp,2,1,1,1,1,1,1,1,1,1
Drugs & Narcotics,,,,,,,
Tea,133,123,127,128,132,237,238,246,246,266
Tobacco,78,78,78,73,79,174,180,187,176,198
Betel nut,76,135,113,114,115,1448,1523,1470,1505,1568
Betel Leaves,176,180,88,88,173,347,347,334,342,329
Fruits (Temporary),,,,,,,
Banana,122,122,122,122,117,119,120,120,122,118
Pineapple,113,104,99,158,98,166,158,157,149,159
