Crop,2021-22_Area_000_Acres,2021-22_Per_Acre_Yield_Kg,2021-22_Production_000_MT,2022-23_Area_000_Acres,2022-23_Per_Acre_Yield_Kg,2022-23_Production_000_MT,2023-24_Area_000_Acres,2023-24_Per_Acre_Yield_Kg,2023-24_Production_000_MT
MAJOR CEREALS,,,,,,,,
Rice,,,,,,,,
Aus Local,249,528,131,210,582,122,168,612,103
Aus HYV,2615,1096,2869,2412,1151,2779,2258,1183,2673
Aus Hybrid,0,0,0,0,0,0,130,1511,197
Total Aus,2864,1047,3000,2622,1106,2901,2556,1162,2973
Aman Broadcast,614,442,272,542,444,241,561,469,263
Aman T. Local,1786,620,1108,1695,666,1130,1446,692,1002
Aman HYV,11732,1157,13578,11906,1180,14055,11415,1246,14228
Aman Hybrid,0,0,0,0,0,0,787,1477,1163
Total Aman,14132,1058,14958,14143,1091,15426,14209,1172,16656
Boro Local,61,743,45,61,771,47,56,776,44
Boro HYV,9028,1642,14823,8943,1675,14985,8864,1687,14957
Boro Hybrid,2807,1894,5317,2985,1921,5736,3132,1936,6067
Total Boro,11896,1697,20185,11989,1732,20768,12052,1748,21068
Total Rice,28992,1362,38144,28754,1409,39095,28817,1457,40697
Wheat,778,1395,1086,783,1494,1170,770,1522,1172
Total Major Cereals,29770,1322,39230,29537,1457,40265,29587,1457,41869
MINOR CEREALS,,,,,,,,
Barley/Jab,0.4531,380.53,0.17242,0.418,380.45,0.159,0.398,494,0.195
Rabi Jower (Millet),0.1647,485,0.08001,0.1168,516,0.06032,0.119,1023,0.0615
Kharif Jower (Millet),0,0,0,0,0,0,0,0,0
Kharif Maize,0,0,0,0,0,0,0,0,0
Rabi Maize,0,0,0,0,0,0,0,0,0
Maize (Rabi & Kharif),1182,3605,4262,1227,3718,4563,1272,6982,4876
Cheena & Kaon,2,428,1,1,454,1,1,447,0.754
Binnidana,0.01865,551,0.01029,0,0,0,0,0,0
Total Minor Cereals,1184,4118,4264,1229,371,4565,1274,8946,4878
Total Cereals (Major+minor),30954,1409,43494,30766,1457,44830,30861,14550,46747
Pulses,,,,,,,,
Gram,11,452.42,5,10,467.76,5,10,517.68,5
Arhar,1,424.11,0.45442,1,417.5,0.04225,1,423.65,0.38422
Lentil (Masur),357,534.38,191,334,588.55,197,309,598.88,185
Pea (Motor),18,444.94,8,17,447.13,8,17,469.51,8
Green gram (Mug),114,364.75,42,113,404.28,46,121,368.09,45
Black gram (Mashkalai),102,381.58,39,102,401.88,41,98,399.65,39
Kheshari,291,453.45,132,272,474.68,129,270,482.33,130
Fallon,31,503.81,15,30,459.42,14,31,538.47,17
Garikalai,1,303.22,0.37387,1,303.89,0.37,1,299.06,0.356
Total Pulses,926,3862.66,432,880,500,440,858,4097.32,429
Oil seeds,,,,,,,,
Sesame (Till) (Rabi & Kharif),82,3803,31,78,3974,31,76,809.38,30
