District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,714.00,14227.00,428.00,8953.68,381.00,8024.11
39,Narail,1705.00,26860.00,1728.00,27231.64,1737.00,27379.05
40,Satkhira,278.00,5648.00,285.21,5852.13,275.89,5656.24
Khulna Division,,20168.00,401341.00,19400.76,404204.72,18696.50,413347.29
41,Jamalpur,10187.00,213308.00,9913.00,204309.00,9764.00,202790.00
42,Mymensingh,5176.00,80881.00,5181.00,80888.00,5197.00,81063.00
43,Netrokona,47.00,607.00,57.00,878.00,60.00,926.00
44,Sherpur,241.00,5215.00,231.00,5059.00,230.00,5034.00
Mymensingh Division,,15651.00,300011.00,15382.00,291134.00,15251.00,289813.00
45,Bogura,283.83,6404.65,268.28,5650.26,238.28,4869.34
46,Joypurhat,2223.13,44076.50,2236.40,44887.12,2233.56,45310.25
47,Naogaon,818.50,16758.35,657.97,13794.87,581.73,12320.60
48,Natore,52293.70,965173.35,51405.30,928965.37,51506.13,932006.42
49,Chapai Nawabganj,3413.00,59031.61,3526.00,60219.37,3550.02,61042.43
50,Pabna,7951.00,151338.00,7905.00,150627.00,7675.00,149044.08
51,Rajshahi,13565.35,251000.62,12755.00,226012.39,12271.34,218312.99
52,Sirajganj,2188.46,38557.88,2083.70,37356.51,1287.97,22614.91
Rajshahi Division,,82736.97,1532340.96,80837.65,1467512.89,79344.03,1445521.02
53,Dinajpur,3662.00,49805.00,3520.50,47474.23,2521.00,39161.00
54,Gaibandha,5454.00,115951.00,5407.19,115120.00,5360.00,114079.00
55,Kurigram,699.60,9809.21,634.70,8518.08,630.00,8967.00
56,Lalmonirhat,290.50,3843.82,293.40,3856.06,295.40,4005.00
57,Nilphamari,285.70,6022.89,278.10,5760.12,278.00,4914.96
58,Panchagar,3614.00,40736.50,1619.00,17417.90,1342.00,14320.00
59,Rangpur,959.00,20914.00,964.00,21089.00,946.00,20647.00
60,Tahkurgaon,10371.22,138925.60,10323.17,149672.80,10263.00,147004.00
Rangpur Division,,25336.02,386008.02,23040.06,368908.19,21635.40,353097.96
61,Habigonj,2297.50,36796.72,2293.34,36847.13,2073.55,33265.92
62,Moulvibazar,106.75,661.03,108.00,864.46,91.43,713.80
63,Sunamganj,181.00,3190.00,184.00,3190.00,184.00,3189.00
64,Sylhet,22.50,141.70,21.50,153.30,25.20,203.50
Sylhet Division,,2607.75,40789.45,2606.84,41054.89,2374.18,37372.22
BANGLADESH,,178561.43,3087428.47,172289.89,2982546.83,167345.34,2933694.69
