District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,126,181,127,180,110,156
2,Barishal,660,1320,1094,2459,1114..00,2242
3,Bhola,1954,5254,1940,4966,1871,4917
4,Jhallokati,1095,2404,1078,1874,1080,2216
5,Patuakhali,112,167,0,0,144.15,367
6,Pirojpur,533,995,642,1186,645,1196
Barishal Division,,4480,10321,4881,10665,4964.15,11094
7,Bandarban,785,942.1,790.5,896,803,907.75
8,Brahmanbaria,266.9,406.04,282.3,496.09,1287.8,2720.5
9,Chandpur,13729,38511.69,14229.15,39309.58,11319.9,32517.3
10,Chattogram,66,171.87,110,248,137.74,351.36
11,Cumilla,23305,57115.5,23309,57116,24054,54813.1
12,Cox’s Bazar,200.35,424.94,200,425,200.35,424.94
13,Feni,350.92,1017.24,355.13,1021.99,186.5,675
14,Khagrachari,1474.75,2626,1524.06,2880.37,1546.41,2783.67
15,Lakshmipur,0,0,292,599,144,326
16,Noakhali,256.85,798.11,387,1203,396.02,1297.12
17,Rangamati,1054.05,1846.6,1013.85,1886.51,1018.06,1843.58
Chattogram Division,,41488.82,103860.09,42492.99,106081.5,41093.78,98660.32
18,Dhaka,16502,44431.9,13258,37938.93,13093.5,36892.02
19,Faridpur,1550.5,3495,800,1856.35,944.6,3155.5
20,Gazipur,346.12,790.72,227.57,675.27,66.96,286.93
21,Gopalganj,115.6,328.79,108.37,303.11,114.5,327.55
22,Kishoreganj,13926.74,43161,15318.29,51557.96,18205.37,63560.32
23,Madaripur,568.6,2153.58,584,2205.75,693.17,2622.19
24,Manikganj,53305,161477.8,53512.73,164449.2,54892.7,175357.5
25,Munshiganj,11305.01,25151.79,10318.01,24361.7,10763.5,26130.14
26,Narayanganj,65.72,209.47,145.07,461.92,284.97,924.19
27,Narsingdi,39.14,101.12,41.7,106.67,57.79,157.1
28,Rajbari,729,2164,311,895,559,1704.4
29,Shariatpur,32.5,99.15,67.7,185,71.2,195.4
30,Tangail,7685.25,22529.5,8630.94,22300.82,10227.81,33715.24
Dhaka Division,,106171.12,306093.85,103323.4,307297.7,109975.07,345028.48
31,Bagerhat,421.5,946.17,404,915.45,530,1240
32,Chuadanga,117936,517263,115476,488723,118239.5,555116
33,Jashore,1470,4790,1229,4157,1396,4758
34,Jhenaidah,43241,172060.5,46036,179301,43991,183514.4
35,Khulna,213.4,602.37,207.17,624.7,315.96,923.07
36,Kushtia,24560,97640,23802,95423,26152,64682
37,Magura,155.97,512.39,175.19,519.42,185.95,570.6
