Sl. No.,Soil type unit,Characteristics,Places of occurrence (Upazila or parts thereof)
1.,"Non-calcareous
Alluvium.","Recent Tista, Brahmaputra and
Jamuna alluvium. Mainly unstable
char land.","Tangail: Tangail Sadar, Nagarpur, Kalihati,
Jamalpur: Gopalpur, Sarishabari, Madargonj,
Melandah, Islampur and Dewangonj.
Gaibandah: Gaibandah Sadar and Phulchari.
Kurigram: Kurigram Sadar, Raumari,
Nageswari, Bhurungamari, Ulipur, Chilmari.
Bogura: Saria Kandi and Dhunot.
Pabna: Bera.
Sirajganj: Sirajgonj Sadar, Kazipur,
Kamarkhonda, Belkuchi, Chauhali,
Shahzadpur."
2.,Calcareous Alluvium.,"Recent Ganges and lower Meghna
alluvium. Part unstable char land.
Part saline in the Meghna estuary.","Faridpur: Char Bhadrasan and Sadarpur.
Noakhali: Sudharam, Hatiya.
Lakshmipur: Ramgati.
Feni: Sonagazi.
Chattogram: Sandwip"
3.,Acid Sulphate Soils.,"Sundarbans (mangrove swamp)
soils with extremely high acidity
(potential or actual) tidally flooded
with blackish or saline water for part
or all the year.","Khulna: Dacope.
Bagerhat: Sarankhola."
4.,Peat.,"Permanently wet basin peat and
muck, part with alluvial topsoil.","Gopalganj: Gopalganj Sadar, Kasiani,
Kotalipara, Mukusudpur
Madaripur: Madaripur Sadar, Rajoir.
Khulna: Daulatpur, Fultala, Terokheda,
Dumuria
Bagerhat: Mollahat.
Barisal: Bakerganj.
Pirojpur: Nazirpur.
Jashore: Abhoynagar.
Magura: Salika.
Narail: Kalia."
5.,Grey Floodplain Soils.,"Grey, finely mottled brown,
seasonally flooded soils with
seasonally acid top-soil and near
neutral subsoils.","Dhaka: Keraniganj, Dhamrai.
Narayangonj: Narayangonj Sadar, Futullah.
Narsingdi: Raipura.
Munshiganj: Munshiganj Sadar, Gazaria.
Gazipur: Kaliganj
Manikganj: Manikganj Sadar, Saturia, Singair,
Daulatpur, Gheor,
Chapainawabganj: Chapainawabganj Sadar,
Jamalpur: Sarishabari, Madargonj.
Tangail: Tangail Sadar, Kalihati, Nagarpur.
Cumilla: Homna.
Chandpur: Chandpur Sadar, Matlabbazar.
Brahmanbaria: Bancharampur."
6.,"Grey Floodplain Soils
and Non-Calcareous
brown floodplain soils.","Seasonally wet or shallowly flooded
Grey Floodplain soils on lower
ridges and in depressions with
moderately well-drained, rather acid,
brown loams on higher ridges.","Mymensingh: Kotwali, Ishwargonj, Gouripur.
Jamalpur: Jamalpur Sadar, Islampur.
Dinajpur: Chirirbandar, Fulbari and
Khansama.
Rangpur: Gangachara, Mithapukur,
Badarganj,
Nilphamari: Nilphamari Sadar, Saidpur, Dimla.
Domar, Jhaldaka, Kishoregonj,
Lalmonirhat: Kaliganj, Hatibanda, Patgram,
Gaibandha: Palasbari, Sundargonj.
Bogura: Sherpur."
7.,"Mixed grey, Dark grey
and Brown Floodplain
soils.","Tista floodplain soils, Noncalcareous
brown floodplain soils on higher
ridges; seasonally wet or flooded
mainly silty, mixed Grey Floodplain
soils and Non-Calcareous Dark Grey
Floodplain soils on lower ridges and
in depressions.","Lalmonirhat: Lalmonirhat Sadar.
Dinajpur: Fulbari.
Kurigram: Bhurungamari."
8.,"Grey Floodplain soils
and Non-calcareous
Dark grey floodplain
soils.","Seasonally wet or shallowly flooded
Grey Floodplain soils, mainly on
ridges, and seasonally shallowly or
deeply flooded Non-calcareous Dark
Grey Floodplain Soils, mainly in
basis.","Narsingdi: Narsingdi.
Narayanganj: Arai hazar.
Munshiganj: Gazaria.
Kishoreganj: Hossainpur.
Netrokona: Mohanganj, Barhatta, Purbadhala.
Mymensingh: Nandail, Phulpur.
Jamalpur: Jamalpur Sadar, Melandah.
Sherpur: Sherpur Sadar, Nakla.
Noakhali: Companyganj, Begumganj, Senbag.
Lakshmipur: Lakshmipur Sadar, Raipur.
Feni: Feni.
Cumilla: Muradnagar, Burichang,
Chauddagram, Laksam, Barura.
Chandpur: Faridganj, Hajigonj.
Brahmanbaria: Nabinagar"
9.,"Grey Floodplain Soils
and Acid basin clays.","This occupies the eastern Surma-
Kusiyara Floodplain in Sylhet and
the Cumilla basin.","Kishoreganj: Bhairab,
Cumilla: Kotwali and Burichang.
Sylhet: Balaganj, Biswanath; Fenchuganj,
Zakiganj,Beanibazar,
Sunamgonj: Chhatak, Jagannathpur,
Moulvibazar: Rajanagar."
10.,Grey Piedmont Soils.,"Grey mottled red or brown, strongly
acid, loams to clays on seasonally
wet or flooded piedmont plains
adjoining the eastern hills.","Chattogram: Kotwali, Doublemoorings,
Mirsarai, Sitakunda, Fatikchari, Raojan,
Rangunia, Boalkhali, Patiya,Satkania,
Cox’s Bazar: Chakaria, Kutubdia and Ramu.
Chattogram Hill Tracts: Lama.
Feni: Chhagalnaiya.
Cumilla: Kasba and Chauddagram.
Maulvibazar: Chunarughat, Kulaura,
Kamalgonj and Barlekha."
11.,Acid basin clays.,"Strongly acid heavy clays, part
permanently wet.","Dhaka: Dohar and Serajdikhan.
Kishoregonj: Astagram, Nikli, Itna,
Netrokona: Kalmakanda and Durgapur.
Madan, Khaliajuri.
Cumilla: Nasirnagar.
Hobigonj: Nabiganj, Lakhai, Azmiriganj,
Sunamganj: Tahirpur, Derai, Sulla and
Jamalganj.
Naogaon: Atrai, Raninagar
Sirajgonj: Tarash."
12.,"Non-Calcareous Dark
grey Floodplain soils.","Dark grey, finely mottled brown, and
brown soils with dark grey flood
coatings, with seasonally acid top
soils and near-neutral sub-soils.
Mainly seasonally deeply flooded
soils of the old Brahmaputra-
Karatoya-Bangali (Part) and old
Meghna estuarine floodplains.","Dhaka: Tejgaon,
Narayngonj: Araihazar, Rupaganj and
Sonargaon.
Munshigonj:Lohajong, Tongibari.
Kishoregonj: Pakundia, Karimgonj, Tarail,
Bajitpur, Kuliarchar, Kathiadi, Kotoali
Netrakona: Atpara and Kendua.
Mymensingh: Muktagacha, Fulbaria, Trisal,
Jamalpur: Sarisabari,
Tangail: Basail, Ghatail and Kalihati.
Shariatpur: Bhedarganj, Naria, Palong.
Madaripur: Madaripur Sadar.
Noakhali: Ramganj.
Cumilla: Chandina, Debidwar, Daudkandi.
Chandpur: Kachua.
Brahmanbaria: Sarail, Nasirnagar, Nabinagar
and Bancharampur."
13.,"Calcareous dark grey
floodplain soils and
calcareous brown
floodplain soils.","Mainly dark grey or brown clays with
dark grey flood coatings, some
calcareous throughout some with
seasonally acid top soils and
calcareous substratum within 4 feet.
Brown calcareous loamy soils on
highest ridges and near river-banks.","Manikganj: Srinagar, Harirampur and
Shivalaya.
Mymensingh: Kotwali.
Faridpur: Bhanga, Nagarkanda,
Gopalganj: Muksudpur, Kotalipara, Kasiani,
Madaripur:Kalkini,
Sharitpur: Baliakandi, Goshairhat, Janjira
and Shibchar.
Rajshahi: Boalia, Paba, Puthia, Charghat.
Chapinababgonj: Bholahat, Shibganj,
Gamustapur.
Natore: Bagatipara, Lalpur, Baraigram and
Gurudaspur.
Pabna: Kotwali, Atgharia, Ishurdi, Chatmohar,
Faridpur, Santhia, Bera and Sujanagar."
14.,"Calcareous dark grey
floodplain soils with lime
kankar.","Mainly leached calcareous dark grey
floodplain soils about half with a
hard line kankar layer 2-6 feet deep.","Rajshahi: Bagmara, Durgapur."
15.,"Non-calcareous brown
floodplain soils and grey
floodplain soils.","Brown soils are the dominant soils in
the landscape and the grey soils are
subordinate.","Mymensingh: Phulpur,
Jamalpur: Madargonj, Dewanganj.
Dinajpur: Birganj, Kaharole, Birol, Bochaganj,
Thakurgaon: Baliadangi, Ranisankail,
Haripur, Pirganj.
Panchagarh:Debiganj and Boda."
16.,Black Terai soils.,"Seasonally wet, dark coloured rather
acid, loamy soils on ridges, level
areas and in depressions.",Panchagarh: Atwari and Tetulia.
17.,Brown Hill soils.,"Brown, very strongly acid, mainly
loamy soils.","Mymensingh: Haluaghat.
Sherpur: Sribordi and Nalitabari.
Chattogram: Panchlaish, Hathazari, Mirsarai,
Fatikchari, Rangunia, Anowara, Banskhali,
Cox’s Bazar, Ramu, Moheshkahli, Teknaf and
Ukhiya, all thanas of Chattogram Hill Tracts.
Feni: Chagalnaiya and Parsuram.
Cumilla: Kotwali and Chauddagram.
Sylhet: Kotwali, Gowainghat, Golapgonj,
Jaintapur and Kanaighat."
18.,"Red-brown Terrace
soils.","Well to moderately well-drained, red
and brown, strongly acid, clay loams
and clays, part over compact
Modhupur clay at 1-3 feet, pert over
deeply mottled clay substratum.","Gazipur: Sripur, Kapasia, Kaligonj, Gazipur
Sadar, Kaliakhair.
Narayngonj: Rupgonj.
Dhaka: Savar.
Narsingdi: Monohardi. Shibpur.
Mymensingh: Fulbaria, Trisal.
Tangail: Ghatail.
Brahmanbaria: Kasba.
Rajshahi: Nowabgonj.
Chapinawabgonj: Chapinawabgonj Sadar
Dinajpur: Gharaghat.
Rangpur: Pirganj.
Gaibandha: Gobindaganj and Sadullapur."
19.,Grey Terrace soils.,"Poorly drained, grey, mottled, acid
silty soils over a grey, mottled clay
substratum.","Dhaka: Gazipur Sadar.
Kishoreganj: Durgapur.
Mymensingh: Haluaghat.
Sherpur: Sribordi, Nalitabari.
Rajshahi: Godagari.
Chapai Nawabganj: Chapai Nawabganj
Sadar, Bholahat, Nachole Shibganj,
Naogaon: Porsha, Badalgachi, Niamatpur,
Raninagar, Dhamoirhat. Mohadevpur.
Natore: Natore Sadar.
Dinajpur: Kotwali, Parbatipur, Phulbari and
Hakimpur.
Rangpur: Mithapukur.
Gaibandha: Gobindaganj, Sadullapur.
Bogura: Kotwali, Adamdigi, Dubchanchia,
Kahalu, Shibganj and Nandigram.
Joypurhat: Panchbibi, Khetlal.
Sirajgonj: Tarash."
