District/ Division,None,2022-23,None,None,None,None,2023-24,None,None,None,None
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
49,"Chapai
Nawabganj",0,0,,0.000,0,0,0,0.00,0.000,0
50,Pabna,81605,33025,13.27,1.224,40422,78636,31824,13.40,1.236,39333
51,Rajshahi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
52,Sirajganj,30493,12345,14.80,1.365,16846,26404,10686,14.70,1.356,14488
Rajshahi Division,,149584,60546,14.04,1.295,78414,138449,56030,14.13,1.304,73039
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,0,0,0.00,0.000,0,0,0,0.00,0.000,0
55,Kurigram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Panchagar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
59,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
Rangpur Divison,,0,0,0.00,0.000,0,0,0,0.00,0.000,0
61,Habiganj,8485,3434,13.02,1.201,4124,6913,2797,13.64,1.258,3519
62,Moulvibazar,478,193,14.20,1.310,253,353,143,14.00,1.291,185
63,Sunamganj,15,6,13.50,1.245,8,6,2,13.60,1.254,3
64,Sylhet,3480,1408,15.20,1.402,1974,1672,677,15.44,1.424,964
Sylhet Division,,12458,5042,13.67,1.261,6359,8944,3620,13.50,1.290,4671
Bangladesh,,541716,219264,11.90,1.097,240642,561046,227052,12.57,1.160,263321
