District/ Division,None,2022-23,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2023-24,None,None,None,None,None,None,None,None,None,None,None,None,None,None
,,Area,,,,,,Yield Rate,,,,,,Production,,,,Area,,,,,,Yield Rate,,,,,,Production,,
,,Acres,,,"Hector
s",,,"Acres
(Maund)",,,"Hector
s
(M.
Ton)",,,(M. Ton),,,,Acres,,,Hectors,,,"Acres
(Maund)",,,"Hectors
(M. Ton)",,,(M. Ton),,
Khulna Division,,,96057,,,38874,,,41.14,,,3.795,,,147521,,,,101073,,,40904,,,44.14,,,4.071,,,166533,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Jamalpur,,9325,,,3774,,,31.34,,,2.697,,,10179,,,,6372,,,2579,,,33.56,,,2.888,,,7448,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Mymensingh,,4130,,,1671,,,31.38,,,2.701,,,4514,,,,4191,,,1696,,,37.93,,,3.265,,,5537,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Netrokona,,1746,,,707,,,35.24,,,3.033,,,2143,,,,1713,,,693,,,35.88,,,3.088,,,2141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Sherpur,,1912,,,774,,,31.31,,,2.695,,,2085,,,,2109,,,853,,,38.48,,,3.312,,,2826,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mymensingh
Division",,,17113,,,6926,,,29.62,,,2.732,,,18922,,,,14385,,,5821,,,33.43,,,3.084,,,17952,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bogura,,5416,,,2192,,,30.53,,,2.628,,,5760,,,,5246.94,,,2123,,,33.6,,,2.892,,,6141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Joypurhat,,5605,,,2268,,,30.51,,,2.626,,,5956,,,,5583.00,,,2259,,,37.59,,,3.235,,,7310,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Naogaon,,41108,,,16636,,,39.62,,,3.410,,,56729,,,41375.00,,,,16744,,,41.87,,,3.604,,,60340,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Natore,,61982,,,25084,,,46.57,,,4.008,,,100540,,,61454.00,,,,24870,,,47.91,,,4.123,,,102552,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Chapai
Nawabganj",,60365,,,24429,,,47.85,,,4.118,,,100608,,,66012.00,,,,26715,,,49.25,,,4.239,,,113239,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pabna,,64015,,,25907,,,35.61,,,3.065,,,79400,,,,63806.00,,,25822,,,39.03,,,3.359,,,86741,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Rajshahi,,55803,,,22583,,,39.24,,,3.377,,,76270,,,,57849.25,,,23411,,,43.87,,,3.776,,,88396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Sirajganj,,11455,,,4636,,,32.75,,,2.819,,,13067,,,,11499.24,,,4654,,,39.57,,,3.406,,,15849,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajshahi Division,,,305749,,,123735,,,38.41,,,3.542,,,438330,,,,312825,,,126599,,,41.16,,,3.796,,,480568,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Dinajpur,,7976,,,3228,,,35.16,,,3.026,,,9768,,,,6947,,,2811,,,39.63,,,3.411,,,9589,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Gaibandha,,8120,,,3286,,,27.59,,,2.375,,,7803,,,,8025,,,3248,,,35.89,,,3.089,,,10032,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Kurigram,,18945,,,7667,,,35.14,,,3.024,,,23188,,,,17830,,,7216,,,38.42,,,3.307,,,23860,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Lalmonirhat,,2822,,,1142,,,41.61,,,3.581,,,4090,,,,2338,,,946,,,41.31,,,3.555,,,3364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Nilphamari,,10338,,,4184,,,37.12,,,3.195,,,13366,,,,9862,,,3991,,,37.21,,,3.203,,,12782,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Panchagarh,,49777,,,20144,,,43.31,,,3.728,,,75090,,,,47733,,,19317,,,45.93,,,3.953,,,76363,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Rangpur,,4002,,,1620,,,36.22,,,3.117,,,5049,,,,4042,,,1636,,,38.02,,,3.272,,,5353,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Thakurgaon,,113837,,,46069,,,41.68,,,3.587,,,165264,,,,104226,,,42180,,,45.37,,,3.905,,,164707,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangpur Division,,,215817,,,87340,,,37.69,,,3.476,,,303618,,,,201003,,,81345,,,40.79,,,3.762,,,306050,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Habiganj,,550,,,223,,,39.76,,,3.422,,,762,,,,521,,,211,,,33.90,,,2.918,,,615,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Moulvibazar,,127,,,51,,,26.17,,,2.252,,,116,,,,101,,,41,,,32.88,,,2.830,,,116,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Sunamganj,,858,,,347,,,41.09,,,3.537,,,1228,,,,926,,,375,,,41.54,,,3.575,,,1340,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Sylhet,,602,,,244,,,27.18,,,2.339,,,570,,,,504,,,204,,,28.51,,,2.454,,,500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylhet Division,,,"2,137",,,865,,,33.54,,,3.093,,,2675,,,,"2,052",,,830,,,33.57,,,3.096,,,2571,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,782892,,,316832,,,37.89,,,3.495,,,1107195,,,,769842,,,311551,,,40.79,,,3.763,,,1172242,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
