Crop,None,2021-22,None,None,2022-23,None,None,None,2023-24,None,None,None,None
None,None,"Area '000'
Acres","Per acre
Yield (Kg)","Production
'000'M.
Tons","Area '000'
Acres","Per
acre
Yield
(Kg)","Production
'000'M.
Tons",None,"Area
'000'
Acres","Per acre
Yield (Kg)",None,"Production
'000'M.
Tons",None
MAJOR CEREALS,None,None,None,None,None,None,None,None,None,None,None,None,None
Rice,None,None,None,None,None,None,None,None,None,None,None,None,None
AUS,Local,249,528,131,210,582,None,122,168,None,612,None,103
None,HYV,2615,1096,2869,2412,1151,None,2779,2258,None,1 1 8 3,None,2 6 7 3
None,Hybrid,-,-,-,-,-,None,-,130,None,1511,None,197
Total Aus,,2864,1047,3000,2622,1106,None,2901,2557,None,1162,None,2973
AMAN,Broadcast,614,442,272,542,444,None,241,561,None,469,None,263
None,T. Local,1786,620,1108,1695,666,None,1130,1446,None,692,None,1002
None,HYV,11732,1157,13578,11906,1180,None,14055,11415,None,1246,None,14228
None,Hybrid,-,-,-,-,-,None,-,787,None,1477,None,1163
"Total
Aman",,14132,1058,14958,14143,1091,None,15426,14210,None,1172,None,16656
BORO,Local,61,743,45,61,771,None,47,56,None,776,None,44
None,HYV,9028,1642,14823,8943,1675,None,14985,8864,None,1687,None,14957
None,Hybrid,2807,1894,5317,2985,1921,None,5736,3132,None,1936,None,6067
Total Boro,,11895,1697,20186,11989,1732,None,20768,12053,None,1748,None,21068
Total Rice,None,28912,28891,7320,38144,28754,None,1362,28820,None,4082,None,40697
Wheat,,778,1395,1086,783,1494,None,1170,770,None,1522,None,1172
Total Major Cereals,None,29725,29669,1322,39230,29537,None,40263,29589,None,5604,None,41869
MINOR CEREALS,None,None,None,None,None,None,None,None,None,None,None,None,None
Barley/Jab,,0.4531,380.53,0.17242,0.418,380.45,None,0.159,0.398,None,494,None,0.195
Jower,,.1647,0.485,0.08001,0.1168,0.516,None,0.06032,0.119,None,1023,None,0.0615
Maize,,1182,3605,4262,1227,3718,None,4563,1272,None,6982,None,4876
"Cheena &
Kaon",,02,428,01,1,0.454,None,01,01,None,447,None,0.754
Binnidana,,0.01865,551,0.01029,-,-,None,-,0,None,-,None,-
Total Minor Cereals,None,1168,4118,1184,360,1229,None,371,1289,None,8946,None,4877
"Total Cereals
(Major+minor)",None,30202,42811,30853,1409,30766,None,1457,30878,None,14550,None,46746
Gram,,11,452.42,05,10,467.76,None,05,10,None,517.68,None,05
Arhar,,01,424.11,0.45442,01,417.50,None,0.04225,01,None,423.65,None,0.38422
Masur,,357,534.38,191,334,588.55,None,197,309,None,598.88,None,185
Motor,,18,444.94,08,17,447.13,None,08,17,None,469.51,None,08
Mung,,114,364.75,42,113,404.28,None,46,121,None,368.09,None,45
Mashkalai,,102,381.58,39,102,401.88,None,41,98,None,399.65,None,39
Khesari,,291,453.45,132,272,474.68,None,129,270,None,482.33,None,130
Fallon,,31,503.81,15,30,459.42,None,14,31,None,538.47,None,17
Garikalai-,,01,303.22,0.37387,01,303.89,None,0.370,01,None,299.06,None,0.356
Total Pulses,None,926,3862.66,432,880,500,None,440,585,None,4097.32,None,429
